data_point_ID,EXCLUSION,Citation,Title,Lit_Source,Continent,island,experimental_mechanism,Latitude,Longitude,Site,Herbivores_Manipulated,Herbivore_nativeness,treatment_duration_days,impact_mechanism,Fig_Num,High_value_equals_high_response,Response_Dimension,Response_Living,Response_Highest_Level,Strata_or_soil_depth,Species_Class,Species,Response,Units,age_class,woody_height_class,Plot_Covariate,time_series_clean,Mean_High_Megafauna,Mean_Low_Megafauna,SD_High_Megafauna,SD_Low_Megafauna,N_High_Megafauna,N_Low_Megafauna,analysis_group_category,analysis_group,Invasive,Africa_Comparison,experiment_id,site_id,species_response_tag,yi,vi
Aggerbeck et al 2022 Science of the Total Environment 1,,Aggerbeck et al 2022 Science of the Total Environment,Muskoxen homogenise soil microbial communities and affect the abundance of methanogens and methanotrophs,Web of Science October 2025,Greenland,yes,inside vs outside exclosure,74.50029769,-20.76683827,Zackenberg in NE Greenland,Ovibos moschatus,Native,Inf,cumulative,fig_2,TRUE,Belowground,Living,DIVERSITY,5 cm,"","",Chao1,Index,"","",,1,899.4413,795.8101,39.43431,89.63181,20,20,Microbes,Microbial_Diversity,Native,,experiment_7286,108,NA NA Chao1,1.4668832045898,0.146500480647501
Allen et al 2023 Ecological Applications 1,,Allen et al 2023 Ecological Applications,Long-term exclusion of invasive ungulates alters tree recruitment and functional traits but not total forest carbon,Web of Science October 2025,Oceania,yes,inside vs outside exclosure,-39.52104927,175.5953984,New Zealand,Cervus elaphus; Dama dama; Cervus nippon; Capra hircus; Sus scrofa,Introduced,Inf,cumulative,figure_3,TRUE,Aboveground & Belowground,Living,BIOMASS,"",Total Ecosystem Biomass,"",Total Ecosystem Biomass,Mg / hectare,"","",,1,492.9356332,482.3097528,309.4893223,240.0416651,26,26,Ecosystem,Total_Biomass,Invasive,Introduced,experiment_8016,81,Total Ecosystem Biomass NA Total Ecosystem Biomass,0.0377884858046731,0.08001516348279
Anderson et al. 2007 Ecology_24,,Anderson et al. 2007 Ecology,Rainfall and Soils Modify Plant Community Response to Grazing in Serengeti National Park,Web_of_Science_Jan2023_Jonas,Africa,no,inside vs outside exclosure,-2.333333,34.833332,"Serengeti National Park, Tanzania",Connochaetes taurinus mearnsi; Equus quagga; Gazella thomsoni; Tragelaphus oryx; Damaliscus lunatus; Tragelaphus imberbis;  Hippotragus equinus; Oreibia oreibi; Gazella granti; Alcelaphus buselaphus cokei; Raphicerus campestris; Oryx gazella; Syncerus caffer aequinoctialis; Giraffa camelopardalis reticulata; Tragelaphus scriptus; Phacochoerus aethiopicus; Tragelaphus spekei; Sylvicapra grimmia; Madoqua kirkii; Redunca redunca; Kobus ellipsiprymnus; Oreotragus oreotragus; Diceros bicornis michaeli; Hippopotamus amphibius,Native,730,cumulative,Table 1,,Belowground,Abiotic,SOIL_NUTRIENTS,0-10 cm,nutrients,Soil,N (mg/kg),mg/kg,"","",KUH,1,7.3,7.1,1.90525588832577,0.346410161513775,3,3,Soil,Soil_Total_N,Native,Intact_Africa,experiment_19,103,nutrients Soil N (mg/kg),0.116538499263155,1.00318495948923
Anderson et al. 2007 Ecology_25,,Anderson et al. 2007 Ecology,Rainfall and Soils Modify Plant Community Response to Grazing in Serengeti National Park,Web_of_Science_Jan2023_Jonas,Africa,no,inside vs outside exclosure,-2.333333,34.833332,"Serengeti National Park, Tanzania",Connochaetes taurinus mearnsi; Equus quagga; Gazella thomsoni; Tragelaphus oryx; Damaliscus lunatus; Tragelaphus imberbis;  Hippotragus equinus; Oreibia oreibi; Gazella granti; Alcelaphus buselaphus cokei; Raphicerus campestris; Oryx gazella; Syncerus caffer aequinoctialis; Giraffa camelopardalis reticulata; Tragelaphus scriptus; Phacochoerus aethiopicus; Tragelaphus spekei; Sylvicapra grimmia; Madoqua kirkii; Redunca redunca; Kobus ellipsiprymnus; Oreotragus oreotragus; Diceros bicornis michaeli; Hippopotamus amphibius,Native,730,cumulative,Table 1,,Belowground,Abiotic,SOIL_NUTRIENTS,0-10 cm,nutrients,Soil,P (mg/kg),mg/kg,"","",KUH,1,11,10.2,0.866025403784439,0.173205080756888,3,3,Soil,Soil_Total_P,Native,Intact_Africa,experiment_20,103,nutrients Soil P (mg/kg),1.02211025336757,1.24185949173243
Anderson et al. 2007 Ecology_26,,Anderson et al. 2007 Ecology,Rainfall and Soils Modify Plant Community Response to Grazing in Serengeti National Park,Web_of_Science_Jan2023_Jonas,Africa,no,inside vs outside exclosure,-2.333333,34.833332,"Serengeti National Park, Tanzania",Connochaetes taurinus mearnsi; Equus quagga; Gazella thomsoni; Tragelaphus oryx; Damaliscus lunatus; Tragelaphus imberbis;  Hippotragus equinus; Oreibia oreibi; Gazella granti; Alcelaphus buselaphus cokei; Raphicerus campestris; Oryx gazella; Syncerus caffer aequinoctialis; Giraffa camelopardalis reticulata; Tragelaphus scriptus; Phacochoerus aethiopicus; Tragelaphus spekei; Sylvicapra grimmia; Madoqua kirkii; Redunca redunca; Kobus ellipsiprymnus; Oreotragus oreotragus; Diceros bicornis michaeli; Hippopotamus amphibius,Native,730,cumulative,Table 1,,Belowground,Abiotic,SOIL_NUTRIENTS,0-10 cm,nutrients,Soil,N (mg/kg),mg/kg,"","",KCW,1,6.8,7.1,2.07846096908265,1.3856406460551,3,3,Soil,Soil_Total_N,Native,Intact_Africa,experiment_21,103,nutrients Soil N (mg/kg),-0.135513954614345,1.0026350755826
Anderson et al. 2007 Ecology_27,,Anderson et al. 2007 Ecology,Rainfall and Soils Modify Plant Community Response to Grazing in Serengeti National Park,Web_of_Science_Jan2023_Jonas,Africa,no,inside vs outside exclosure,-2.333333,34.833332,"Serengeti National Park, Tanzania",Connochaetes taurinus mearnsi; Equus quagga; Gazella thomsoni; Tragelaphus oryx; Damaliscus lunatus; Tragelaphus imberbis;  Hippotragus equinus; Oreibia oreibi; Gazella granti; Alcelaphus buselaphus cokei; Raphicerus campestris; Oryx gazella; Syncerus caffer aequinoctialis; Giraffa camelopardalis reticulata; Tragelaphus scriptus; Phacochoerus aethiopicus; Tragelaphus spekei; Sylvicapra grimmia; Madoqua kirkii; Redunca redunca; Kobus ellipsiprymnus; Oreotragus oreotragus; Diceros bicornis michaeli; Hippopotamus amphibius,Native,730,cumulative,Table 1,,Belowground,Abiotic,SOIL_NUTRIENTS,0-10 cm,nutrients,Soil,P (mg/kg),mg/kg,"","",KCW,1,10,14.1,1.03923048454133,6.06217782649107,3,3,Soil,Soil_Total_P,Native,Intact_Africa,experiment_22,103,nutrients Soil P (mg/kg),-0.752178205297389,1.13359752605297
Anderson et al. 2007 Ecology_28,,Anderson et al. 2007 Ecology,Rainfall and Soils Modify Plant Community Response to Grazing in Serengeti National Park,Web_of_Science_Jan2023_Jonas,Africa,no,inside vs outside exclosure,-2.333333,34.833332,"Serengeti National Park, Tanzania",Connochaetes taurinus mearnsi; Equus quagga; Gazella thomsoni; Tragelaphus oryx; Damaliscus lunatus; Tragelaphus imberbis;  Hippotragus equinus; Oreibia oreibi; Gazella granti; Alcelaphus buselaphus cokei; Raphicerus campestris; Oryx gazella; Syncerus caffer aequinoctialis; Giraffa camelopardalis reticulata; Tragelaphus scriptus; Phacochoerus aethiopicus; Tragelaphus spekei; Sylvicapra grimmia; Madoqua kirkii; Redunca redunca; Kobus ellipsiprymnus; Oreotragus oreotragus; Diceros bicornis michaeli; Hippopotamus amphibius,Native,730,cumulative,Table 1,,Belowground,Abiotic,SOIL_NUTRIENTS,0-10 cm,nutrients,Soil,N (mg/kg),mg/kg,"","",BAL,1,6,5.7,0.692820323027551,1.03923048454133,3,3,Soil,Soil_Total_N,Native,Intact_Africa,experiment_23,103,nutrients Soil N (mg/kg),0.271027909228689,1.01054030233039
Anderson et al. 2007 Ecology_29,,Anderson et al. 2007 Ecology,Rainfall and Soils Modify Plant Community Response to Grazing in Serengeti National Park,Web_of_Science_Jan2023_Jonas,Africa,no,inside vs outside exclosure,-2.333333,34.833332,"Serengeti National Park, Tanzania",Connochaetes taurinus mearnsi; Equus quagga; Gazella thomsoni; Tragelaphus oryx; Damaliscus lunatus; Tragelaphus imberbis;  Hippotragus equinus; Oreibia oreibi; Gazella granti; Alcelaphus buselaphus cokei; Raphicerus campestris; Oryx gazella; Syncerus caffer aequinoctialis; Giraffa camelopardalis reticulata; Tragelaphus scriptus; Phacochoerus aethiopicus; Tragelaphus spekei; Sylvicapra grimmia; Madoqua kirkii; Redunca redunca; Kobus ellipsiprymnus; Oreotragus oreotragus; Diceros bicornis michaeli; Hippopotamus amphibius,Native,730,cumulative,Table 1,,Belowground,Abiotic,SOIL_NUTRIENTS,0-10 cm,nutrients,Soil,P (mg/kg),mg/kg,"","",BAL,1,91.2,105.3,21.8238401753679,12.297560733739,3,3,Soil,Soil_Total_P,Native,Intact_Africa,experiment_24,103,nutrients Soil P (mg/kg),-0.635131783501897,1.06395401501941
Anderson et al. 2007 Ecology_30,,Anderson et al. 2007 Ecology,Rainfall and Soils Modify Plant Community Response to Grazing in Serengeti National Park,Web_of_Science_Jan2023_Jonas,Africa,no,inside vs outside exclosure,-2.333333,34.833332,"Serengeti National Park, Tanzania",Connochaetes taurinus mearnsi; Equus quagga; Gazella thomsoni; Tragelaphus oryx; Damaliscus lunatus; Tragelaphus imberbis;  Hippotragus equinus; Oreibia oreibi; Gazella granti; Alcelaphus buselaphus cokei; Raphicerus campestris; Oryx gazella; Syncerus caffer aequinoctialis; Giraffa camelopardalis reticulata; Tragelaphus scriptus; Phacochoerus aethiopicus; Tragelaphus spekei; Sylvicapra grimmia; Madoqua kirkii; Redunca redunca; Kobus ellipsiprymnus; Oreotragus oreotragus; Diceros bicornis michaeli; Hippopotamus amphibius,Native,730,cumulative,Table 1,,Belowground,Abiotic,SOIL_NUTRIENTS,0-10 cm,nutrients,Soil,N (mg/kg),mg/kg,"","",TOG,1,8.4,5.2,2.07846096908265,0.346410161513775,3,3,Soil,Soil_Total_N,Native,Intact_Africa,experiment_25,103,nutrients Soil N (mg/kg),1.7136161739028,1.69551042142536
Anderson et al. 2007 Ecology_31,,Anderson et al. 2007 Ecology,Rainfall and Soils Modify Plant Community Response to Grazing in Serengeti National Park,Web_of_Science_Jan2023_Jonas,Africa,no,inside vs outside exclosure,-2.333333,34.833332,"Serengeti National Park, Tanzania",Connochaetes taurinus mearnsi; Equus quagga; Gazella thomsoni; Tragelaphus oryx; Damaliscus lunatus; Tragelaphus imberbis;  Hippotragus equinus; Oreibia oreibi; Gazella granti; Alcelaphus buselaphus cokei; Raphicerus campestris; Oryx gazella; Syncerus caffer aequinoctialis; Giraffa camelopardalis reticulata; Tragelaphus scriptus; Phacochoerus aethiopicus; Tragelaphus spekei; Sylvicapra grimmia; Madoqua kirkii; Redunca redunca; Kobus ellipsiprymnus; Oreotragus oreotragus; Diceros bicornis michaeli; Hippopotamus amphibius,Native,730,cumulative,Table 1,,Belowground,Abiotic,SOIL_NUTRIENTS,0-10 cm,nutrients,Soil,P (mg/kg),mg/kg,"","",TOG,1,165.3,158.6,2.7712812921102,9.52627944162882,3,3,Soil,Soil_Total_P,Native,Intact_Africa,experiment_26,103,nutrients Soil P (mg/kg),0.762019560415461,1.12428245967737
