Citation,Title
Aggerbeck et al 2022 Science of the Total Environment,Muskoxen homogenise soil microbial communities and affect the abundance of methanogens and methanotrophs
Allen et al 2023 Ecological Applications,Long-term exclusion of invasive ungulates alters tree recruitment and functional traits but not total forest carbon
Antoniella et al 2025 Urban Forestry & Urban Greening,Wild ungulates and carbon dynamics in Mediterranean peri-urban forests: Evaluating their impact on soil and biomass carbon storage
Arvidsson et al. 2022 Journal of Arachnology,Microhabitat conditions affect web-building spider communities and their prey independent of effects of short-term wildlife fencing on forest vegetation
Baidya et al 2025 Ecological Applications,Replacing native grazers with livestock influences arthropods to have implications for ecosystem functions and disease
Baraza et al 2025 Plant and Soil,Long-term grazing influences root-associated fungal communities in a common Mediterranean grass
Barrios Garcia et al 2023 Biological Invasions,Wild boar rooting impacts soil function differently in different plant community types
Beckett et al. 2022 Global Ecology and Conservation,Hyperabundant black-tailed deer impact endangered Garry oak ecosystem floral and bumblebee communities
Bon et al Journal of Ecology,Long-term herbivore removal experiments reveal how geese and reindeer shape vegetation and ecosystem CO2-fluxes in high-Arctic tundra
Braden et al 2021 Journal of Arid Environments,Impacts of grazing by kangaroos and rabbits on vegetation and soils in a semi-arid conservation reserve
Brearley et al 2024 Forest Ecology and Management,Wild pigs influence tropical forest soil microbial communities in a forest-agriculture mosaic landscape
Cain et al 2023 Ecosphere,Native herbivore browsing alters plant physical and chemical traits in a eucalypt forest understory
Cepeda et al 2024 Journal of Experimental Botany,"Experimental Exclusion of Guanaco Grazing Increases Cover, Diversity, Land Function and Plant Recruitment in Patagonia"
Charles et al 2021 Ecology and Evolution,Termite mound cover and abundance respond to herbivore-mediated biotic changes in a Kenyan savanna
Coetsee et al 2022 Ecosystems,Contrasting Effects of Grazing vs Browsing Herbivores Determine Changes in Soil Fertility in an East African Savanna
Connally et al 2025 Journal of Medical Entomology,The impact of deer exclusion fencing on host-seeking blacklegged ticks on suburban residential properties in southern New England
Copeland et al 2025 Ecosphere,Variable effects of wildlife and livestock on questing tick abundance across a topographical–climatic gradient
Crameri et al 2025 JGR Biogeosciences,Feral Ungulate Impacts on Carbon Cycling in a Coastal Floodplain Wetland in Tropical Northern Australia
Don et al 2024 sustainability,Effects of Deer Browsing on Soil Nutrients and Regeneration Dynamics in a Carolinian Old-Growth Forest of Ontario
Dornbusch et al 2022 Ecological Applications,Factors influencing the persistence of a fire-sensitive Artemisia species in a fire-dependent ecosystem
