data_point_ID,Response_Highest_Level,Response_Cat,Response_Sphere,Species_Class,Species_Nativeness,Strata_or_soil_depth,woody_height_class,age_class,Species_Level,Species,Response,Units,Response_Dimension,Response_Living,analysis_group_category,eco_response_coarse,eco_response_fine,eco_response_fine2,eco_response_fine3,eco_response_fine4
Sakai et al. 2012 Population Ecology_8,,Hydrology,abiotic,Abiotic,Unspecified,,,,,solar radiation,Solar radiation,%,Aquatic,Abiotic,Exclude,,,,,
Sakai et al. 2012 Population Ecology_9,,Hydrology,abiotic,Abiotic,Unspecified,,,,,solar radiation,Solar radiation,%,Aquatic,Abiotic,Exclude,,,,,
Kielland and Bryant 1998 Oikos_9,,Unclear,abiotic,,Unspecified,,,,,humidity,Relative humidity,%,Aboveground,Abiotic,Exclude,,,,,
Kielland and Bryant 1998 Oikos_12,,Unclear,abiotic,,Unspecified,,,,,light,Light intensity,LUX*10^2,Aquatic,Abiotic,Exclude,,,,,
Kadowaki et al 2023 Environmental DNA 2,DIVERSITY,Archaea diversity,archaea,,,5 cm,,,Higher_Level,,"amplicon sequence variant, or ASV",Count,Belowground,Living,Microbes,Microbial_Diversity,Archaea_Diversity,,,
Barrios Garcia et al 2023 Biological Invasions 13,ABUNDANCE,Abundance,arthropods,arthropods,,0 to 10 cm,,,Higher_level,total,Arthropod Abundance,individuals/ sample,Aboveground,Living,Invertebrates,Invertebrate_Abundance,Pollinator_Abundance,,,
Barrios Garcia et al 2023 Biological Invasions 14,ABUNDANCE,Abundance,arthropods,arthropods,,0 to 10 cm,,,Higher_level,total,Arthropod Abundance,individuals/ sample,Aboveground,Living,Invertebrates,Invertebrate_Abundance,Pollinator_Abundance,,,
Barrios Garcia et al 2023 Biological Invasions 15,ABUNDANCE,Abundance,arthropods,arthropods,,0 to 10 cm,,,Higher_level,total,Arthropod Abundance,individuals/ sample,Aboveground,Living,Invertebrates,Invertebrate_Abundance,Pollinator_Abundance,,,
Beckett et al. 2022 Global Ecology and Conservation 1,ABUNDANCE,Bumblebee Abundance,arthropods,Bumblebee,Native,,,,,Bombus flavifrons,,,Aboveground,Living,Invertebrates,Invertebrate_Abundance,Pollinator_Abundance,,,
Beckett et al. 2022 Global Ecology and Conservation 2,ABUNDANCE,Bumblebee Abundance,arthropods,Bumblebee,Native,,,,,Bombus melanopygus,,,Aboveground,Living,Invertebrates,Invertebrate_Abundance,Pollinator_Abundance,,,
Beckett et al. 2022 Global Ecology and Conservation 3,ABUNDANCE,Bumblebee Abundance,arthropods,Bumblebee,Native,,,,,Bombus mixtus,,,Aboveground,Living,Invertebrates,Invertebrate_Abundance,Pollinator_Abundance,,,
Beckett et al. 2022 Global Ecology and Conservation 4,ABUNDANCE,Bumblebee Abundance,arthropods,Bumblebee,Native,,,,,Bombus sitkensis,,,Aboveground,Living,Invertebrates,Invertebrate_Abundance,Pollinator_Abundance,,,
Beckett et al. 2022 Global Ecology and Conservation 6,ABUNDANCE,Bumblebee Abundance,arthropods,Bumblebee,Native,,,,,Bombus spp,,,Aboveground,Living,Invertebrates,Invertebrate_Abundance,Pollinator_Abundance,,,
Beckett et al. 2022 Global Ecology and Conservation 5,ABUNDANCE,Bumblebee Abundance,arthropods,Bumblebee,Native,,,,,Bombus vancouverensis,,,Aboveground,Living,Invertebrates,Invertebrate_Abundance,Pollinator_Abundance,,,
Lugar and Pennings 2025 Estuaries and Coasts 2,ABUNDANCE,Insect abundance,arthropods,insects,,,,,,Littoraria irrorata,density,count / m2,Aboveground,Living,Invertebrates,Invertebrate_Abundance,,,,
Lugar and Pennings 2025 Estuaries and Coasts 9,ABUNDANCE,Insect abundance,arthropods,insects,,,,,,total flies (Diptera),density,count / m2,Aboveground,Living,Invertebrates,Invertebrate_Abundance,,,,
Lugar and Pennings 2025 Estuaries and Coasts 10,ABUNDANCE,Insect abundance,arthropods,insects,,,,,,total flies (Diptera),density,count / m2,Aboveground,Living,Invertebrates,Invertebrate_Abundance,,,,
Lugar and Pennings 2025 Estuaries and Coasts 3,ABUNDANCE,Insect abundance,arthropods,insects,,,,,,Orchelimum fidicinium,density,count / m2,Aboveground,Living,Invertebrates,Invertebrate_Abundance,Invert_Herbivore_Abundance,,,
Lugar and Pennings 2025 Estuaries and Coasts 4,ABUNDANCE,Insect abundance,arthropods,insects,,,,,,Orchelimum fidicinium,density,count / m2,Aboveground,Living,Invertebrates,Invertebrate_Abundance,Invert_Herbivore_Abundance,,,
Lugar and Pennings 2025 Estuaries and Coasts 5,ABUNDANCE,Insect abundance,arthropods,insects,,,,,,Planthopper (Prokelisa spp.),density,count / m2,Aboveground,Living,Invertebrates,Invertebrate_Abundance,Invert_Herbivore_Abundance,,,
Lugar and Pennings 2025 Estuaries and Coasts 6,ABUNDANCE,Insect abundance,arthropods,insects,,,,,,Planthopper (Prokelisa spp.),density,count / m2,Aboveground,Living,Invertebrates,Invertebrate_Abundance,Invert_Herbivore_Abundance,,,
Lugar and Pennings 2025 Estuaries and Coasts 7,ABUNDANCE,Insect abundance,arthropods,insects,,,,,,Stem boring fly (Chaetopsis),density,count / m2,Aboveground,Living,Invertebrates,Invertebrate_Abundance,Invert_Herbivore_Abundance,,,
Lugar and Pennings 2025 Estuaries and Coasts 8,ABUNDANCE,Insect abundance,arthropods,insects,,,,,,Stem boring fly (Chaetopsis),density,count / m2,Aboveground,Living,Invertebrates,Invertebrate_Abundance,Invert_Herbivore_Abundance,,,
Charles et al 2021 Ecology and Evolution 1,ABUNDANCE,Invertebrate_Abundance,arthropods,termites,,,,,Higher_Level,termites,Termite Mounds,Mounds/ha,Aboveground,Living,Invertebrates,Invertebrate_Abundance,Invert_Detritivore_Abundance,,,
Charles et al 2021 Ecology and Evolution 3,ABUNDANCE,Invertebrate_Abundance,arthropods,termites,,,,,Higher_Level,termites,Termite Mounds,Mounds/ha,Aboveground,Living,Invertebrates,Invertebrate_Abundance,Invert_Detritivore_Abundance,,,
Guy et al 2021 Current Biology 5,ABUNDANCE,Pollinator abundance,arthropods,Pollinators,Presume_Native,,,,Higher_level,Pollinator Abundance,abundance / 0.25 ha,count / 0.25 ha,Aboveground,Living,Invertebrates,Invertebrate_Abundance,Pollinator_Abundance,,,
Guy et al 2021 Current Biology 6,ABUNDANCE,Pollinator abundance,arthropods,Pollinators,Presume_Native,,,,Higher_level,Pollinator Abundance,abundance / 0.25 ha,count / 0.25 ha,Aboveground,Living,Invertebrates,Invertebrate_Abundance,Pollinator_Abundance,,,
Lugar and Pennings 2025 Estuaries and Coasts 11,ABUNDANCE,Spider abundance,arthropods,spider,,,,,,Spiders (Araneae),density,count / m2,Aboveground,Living,Invertebrates,Invertebrate_Abundance,Invert_Predator_Abundance,,,
Lugar and Pennings 2025 Estuaries and Coasts 12,ABUNDANCE,Spider abundance,arthropods,spider,,,,,,Spiders (Araneae),density,count / m2,Aboveground,Living,Invertebrates,Invertebrate_Abundance,Invert_Predator_Abundance,,,
Wijas et al 2023 Ecology 7,ABUNDANCE,Termite Abundance,arthropods,Termites,,,,,,,Termite activity,toilet paper consumed per month,Aboveground,Living,Invertebrates,Invertebrate_Abundance,Invert_Detritivore_Abundance,,,
Wijas et al 2023 Ecology 8,ABUNDANCE,Termite Abundance,arthropods,Termites,,,,,,,Termite activity,toilet paper consumed per month,Aboveground,Living,Invertebrates,Invertebrate_Abundance,Invert_Detritivore_Abundance,,,
Wijas et al 2023 Ecology 15,ABUNDANCE,Termite Abundance,arthropods,Termites,,,,,,,Termite activity,toilet paper consumed per month,Aboveground,Living,Invertebrates,Invertebrate_Abundance,Invert_Detritivore_Abundance,,,
Wijas et al 2023 Ecology 16,ABUNDANCE,Termite Abundance,arthropods,Termites,,,,,,,Termite activity,toilet paper consumed per month,Aboveground,Living,Invertebrates,Invertebrate_Abundance,Invert_Detritivore_Abundance,,,
Wijas et al 2023 Ecology 23,ABUNDANCE,Termite Abundance,arthropods,Termites,,,,,,,Termite activity,toilet paper consumed per month,Aboveground,Living,Invertebrates,Invertebrate_Abundance,Invert_Detritivore_Abundance,,,
