"data_point_ID","EXCLUSION","Citation","Title","Lit_Source","experimental_mechanism","experimental_comparison","Latitude","Longitude","Site","Herbivores_Manipulated","Herbivore_nativeness","Fig_Num","Response_Sphere","Response","Species_Class","Species_Level","Species","time_series_clean","nutrient_measured","Nutrient_Grouping_Alt","experiment_id","Mean_Type","Error_bar","Raw_Mean_High_Megafauna","Error_Megafauna","N_Megafauna","Raw_Mean_Low_Megafauna","Error_Low_Megafauna","N_Low_Megafauna","Min_Megafauna","First_Qtr_Megafauna","Median_Megafauna","Third_Qtr_Megafauna","Maximum_Megafauna","Min_Low_Megafauna","First_Qtr_Low_Megafauna","Median_Low_Megafauna","Third_Qtr_Low_Megafauna","Maximum_Low_Megafauna","species_response_tag","SD_High_Megafauna","SD_Low_Megafauna","yi_smd","vi_smd","yi_rom","vi_rom","analysis_group_category","analysis_group","Invasive","Africa_Comparison","site_id"
"Anderson et al. 2007 Ecology_24","","Anderson et al. 2007 Ecology","Rainfall and Soils Modify Plant Community Response to Grazing in Serengeti National Park","Web_of_Science_Jan2023_Jonas","inside vs outside exclosure","high vs low",-2.333333,34.833332,"Serengeti National Park, Tanzania","Connochaetes taurinus mearnsi; Equus quagga; Gazella thomsoni; Tragelaphus oryx; Damaliscus lunatus; Tragelaphus imberbis;  Hippotragus equinus; Oreibia oreibi; Gazella granti; Alcelaphus buselaphus cokei; Raphicerus campestris; Oryx gazella; Syncerus caffer aequinoctialis; Giraffa camelopardalis reticulata; Tragelaphus scriptus; Phacochoerus aethiopicus; Tragelaphus spekei; Sylvicapra grimmia; Madoqua kirkii; Redunca redunca; Kobus ellipsiprymnus; Oreotragus oreotragus; Diceros bicornis michaeli; Hippopotamus amphibius","Native","Table 1","soil","N (mg/kg)","nutrients","","Soil",1,"N","Total_N","experiment_7638","Mean","SE","7.3","1.1",3,"7.1","0.2",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nutrients Soil",1.90525588832577,0.346410161513775,0.116538499263155,0.667798435150876,0.0277795641070757,0.023499441937717,"Ecosystem","Soil_Total_N","Native","Intact_Africa","site_65"
"Anderson et al. 2007 Ecology_25","","Anderson et al. 2007 Ecology","Rainfall and Soils Modify Plant Community Response to Grazing in Serengeti National Park","Web_of_Science_Jan2023_Jonas","inside vs outside exclosure","high vs low",-2.333333,34.833332,"Serengeti National Park, Tanzania","Connochaetes taurinus mearnsi; Equus quagga; Gazella thomsoni; Tragelaphus oryx; Damaliscus lunatus; Tragelaphus imberbis;  Hippotragus equinus; Oreibia oreibi; Gazella granti; Alcelaphus buselaphus cokei; Raphicerus campestris; Oryx gazella; Syncerus caffer aequinoctialis; Giraffa camelopardalis reticulata; Tragelaphus scriptus; Phacochoerus aethiopicus; Tragelaphus spekei; Sylvicapra grimmia; Madoqua kirkii; Redunca redunca; Kobus ellipsiprymnus; Oreotragus oreotragus; Diceros bicornis michaeli; Hippopotamus amphibius","Native","Table 1","soil","P (mg/kg)","nutrients","","Soil",1,"P","Total_P","experiment_7639","Mean","SE","11","0.5",3,"10.2","0.1",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nutrients Soil",0.866025403784439,0.173205080756888,1.02211025336757,0.753725780836592,0.0755075525081453,0.00216223258060314,"Ecosystem","Soil_Total_P","Native","Intact_Africa","site_65"
"Anderson et al. 2007 Ecology_26","","Anderson et al. 2007 Ecology","Rainfall and Soils Modify Plant Community Response to Grazing in Serengeti National Park","Web_of_Science_Jan2023_Jonas","inside vs outside exclosure","high vs low",-2.333333,34.833332,"Serengeti National Park, Tanzania","Connochaetes taurinus mearnsi; Equus quagga; Gazella thomsoni; Tragelaphus oryx; Damaliscus lunatus; Tragelaphus imberbis;  Hippotragus equinus; Oreibia oreibi; Gazella granti; Alcelaphus buselaphus cokei; Raphicerus campestris; Oryx gazella; Syncerus caffer aequinoctialis; Giraffa camelopardalis reticulata; Tragelaphus scriptus; Phacochoerus aethiopicus; Tragelaphus spekei; Sylvicapra grimmia; Madoqua kirkii; Redunca redunca; Kobus ellipsiprymnus; Oreotragus oreotragus; Diceros bicornis michaeli; Hippopotamus amphibius","Native","Table 1","soil","N (mg/kg)","nutrients","","Soil",1,"N","Total_N","experiment_7640","Mean","SE","6.8","1.2",3,"7.1","0.8",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nutrients Soil",2.07846096908265,1.3856406460551,-0.135513954614345,0.668197002657935,-0.0431721718652087,0.0438377621840012,"Ecosystem","Soil_Total_N","Native","Intact_Africa","site_65"
"Anderson et al. 2007 Ecology_27","","Anderson et al. 2007 Ecology","Rainfall and Soils Modify Plant Community Response to Grazing in Serengeti National Park","Web_of_Science_Jan2023_Jonas","inside vs outside exclosure","high vs low",-2.333333,34.833332,"Serengeti National Park, Tanzania","Connochaetes taurinus mearnsi; Equus quagga; Gazella thomsoni; Tragelaphus oryx; Damaliscus lunatus; Tragelaphus imberbis;  Hippotragus equinus; Oreibia oreibi; Gazella granti; Alcelaphus buselaphus cokei; Raphicerus campestris; Oryx gazella; Syncerus caffer aequinoctialis; Giraffa camelopardalis reticulata; Tragelaphus scriptus; Phacochoerus aethiopicus; Tragelaphus spekei; Sylvicapra grimmia; Madoqua kirkii; Redunca redunca; Kobus ellipsiprymnus; Oreotragus oreotragus; Diceros bicornis michaeli; Hippopotamus amphibius","Native","Table 1","soil","P (mg/kg)","nutrients","","Soil",1,"P","Total_P","experiment_7641","Mean","SE","10","0.6",3,"14.1","3.5",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nutrients Soil",1.03923048454133,6.06217782649107,-0.752178205297389,0.713814337710367,-0.343589704390077,0.06521661888235,"Ecosystem","Soil_Total_P","Native","Intact_Africa","site_65"
"Anderson et al. 2007 Ecology_28","","Anderson et al. 2007 Ecology","Rainfall and Soils Modify Plant Community Response to Grazing in Serengeti National Park","Web_of_Science_Jan2023_Jonas","inside vs outside exclosure","high vs low",-2.333333,34.833332,"Serengeti National Park, Tanzania","Connochaetes taurinus mearnsi; Equus quagga; Gazella thomsoni; Tragelaphus oryx; Damaliscus lunatus; Tragelaphus imberbis;  Hippotragus equinus; Oreibia oreibi; Gazella granti; Alcelaphus buselaphus cokei; Raphicerus campestris; Oryx gazella; Syncerus caffer aequinoctialis; Giraffa camelopardalis reticulata; Tragelaphus scriptus; Phacochoerus aethiopicus; Tragelaphus spekei; Sylvicapra grimmia; Madoqua kirkii; Redunca redunca; Kobus ellipsiprymnus; Oreotragus oreotragus; Diceros bicornis michaeli; Hippopotamus amphibius","Native","Table 1","soil","N (mg/kg)","nutrients","","Soil",1,"N","Total_N","experiment_7642","Mean","SE","6","0.4",3,"5.7","0.6",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nutrients Soil",0.692820323027551,1.03923048454133,0.271027909228689,0.67278801063174,0.0512932943875505,0.0155247768544167,"Ecosystem","Soil_Total_N","Native","Intact_Africa","site_65"
"Anderson et al. 2007 Ecology_29","","Anderson et al. 2007 Ecology","Rainfall and Soils Modify Plant Community Response to Grazing in Serengeti National Park","Web_of_Science_Jan2023_Jonas","inside vs outside exclosure","high vs low",-2.333333,34.833332,"Serengeti National Park, Tanzania","Connochaetes taurinus mearnsi; Equus quagga; Gazella thomsoni; Tragelaphus oryx; Damaliscus lunatus; Tragelaphus imberbis;  Hippotragus equinus; Oreibia oreibi; Gazella granti; Alcelaphus buselaphus cokei; Raphicerus campestris; Oryx gazella; Syncerus caffer aequinoctialis; Giraffa camelopardalis reticulata; Tragelaphus scriptus; Phacochoerus aethiopicus; Tragelaphus spekei; Sylvicapra grimmia; Madoqua kirkii; Redunca redunca; Kobus ellipsiprymnus; Oreotragus oreotragus; Diceros bicornis michaeli; Hippopotamus amphibius","Native","Table 1","soil","P (mg/kg)","nutrients","","Soil",1,"P","Total_P","experiment_7643","Mean","SE","91.2","12.6",3,"105.3","7.1",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nutrients Soil",21.8238401753679,12.297560733739,-0.635131783501897,0.700282698534525,-0.143758522059644,0.0236339233975286,"Ecosystem","Soil_Total_P","Native","Intact_Africa","site_65"
"Anderson et al. 2007 Ecology_30","","Anderson et al. 2007 Ecology","Rainfall and Soils Modify Plant Community Response to Grazing in Serengeti National Park","Web_of_Science_Jan2023_Jonas","inside vs outside exclosure","high vs low",-2.333333,34.833332,"Serengeti National Park, Tanzania","Connochaetes taurinus mearnsi; Equus quagga; Gazella thomsoni; Tragelaphus oryx; Damaliscus lunatus; Tragelaphus imberbis;  Hippotragus equinus; Oreibia oreibi; Gazella granti; Alcelaphus buselaphus cokei; Raphicerus campestris; Oryx gazella; Syncerus caffer aequinoctialis; Giraffa camelopardalis reticulata; Tragelaphus scriptus; Phacochoerus aethiopicus; Tragelaphus spekei; Sylvicapra grimmia; Madoqua kirkii; Redunca redunca; Kobus ellipsiprymnus; Oreotragus oreotragus; Diceros bicornis michaeli; Hippopotamus amphibius","Native","Table 1","soil","N (mg/kg)","nutrients","","Soil",1,"N","Total_N","experiment_7644","Mean","SE","8.4","1.2",3,"5.2","0.2",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nutrients Soil",2.07846096908265,0.346410161513775,1.7136161739028,0.911373365955106,0.479573080261886,0.0218874532061345,"Ecosystem","Soil_Total_N","Native","Intact_Africa","site_65"
"Anderson et al. 2007 Ecology_31","","Anderson et al. 2007 Ecology","Rainfall and Soils Modify Plant Community Response to Grazing in Serengeti National Park","Web_of_Science_Jan2023_Jonas","inside vs outside exclosure","high vs low",-2.333333,34.833332,"Serengeti National Park, Tanzania","Connochaetes taurinus mearnsi; Equus quagga; Gazella thomsoni; Tragelaphus oryx; Damaliscus lunatus; Tragelaphus imberbis;  Hippotragus equinus; Oreibia oreibi; Gazella granti; Alcelaphus buselaphus cokei; Raphicerus campestris; Oryx gazella; Syncerus caffer aequinoctialis; Giraffa camelopardalis reticulata; Tragelaphus scriptus; Phacochoerus aethiopicus; Tragelaphus spekei; Sylvicapra grimmia; Madoqua kirkii; Redunca redunca; Kobus ellipsiprymnus; Oreotragus oreotragus; Diceros bicornis michaeli; Hippopotamus amphibius","Native","Table 1","soil","P (mg/kg)","nutrients","","Soil",1,"P","Total_P","experiment_7645","Mean","SE","165.3","1.6",3,"158.6","5.5",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nutrients Soil",2.7712812921102,9.52627944162882,0.762019560415461,0.715056150871314,0.0413766956262311,0.00129628416532194,"Ecosystem","Soil_Total_P","Native","Intact_Africa","site_65"
"Anderson et al. 2007 Ecology_32","","Anderson et al. 2007 Ecology","Rainfall and Soils Modify Plant Community Response to Grazing in Serengeti National Park","Web_of_Science_Jan2023_Jonas","inside vs outside exclosure","high vs low",-2.333333,34.833332,"Serengeti National Park, Tanzania","Connochaetes taurinus mearnsi; Equus quagga; Gazella thomsoni; Tragelaphus oryx; Damaliscus lunatus; Tragelaphus imberbis;  Hippotragus equinus; Oreibia oreibi; Gazella granti; Alcelaphus buselaphus cokei; Raphicerus campestris; Oryx gazella; Syncerus caffer aequinoctialis; Giraffa camelopardalis reticulata; Tragelaphus scriptus; Phacochoerus aethiopicus; Tragelaphus spekei; Sylvicapra grimmia; Madoqua kirkii; Redunca redunca; Kobus ellipsiprymnus; Oreotragus oreotragus; Diceros bicornis michaeli; Hippopotamus amphibius","Native","Table 1","soil","N (mg/kg)","nutrients","","Soil",1,"N","Total_N","experiment_7646","Mean","SE","7","0.1",3,"9.2","0.9",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nutrients Soil",0.173205080756888,1.55884572681199,-1.58274221698099,0.875422743784491,-0.273293334999681,0.00977402492187802,"Ecosystem","Soil_Total_N","Native","Intact_Africa","site_65"
"Anderson et al. 2007 Ecology_33","","Anderson et al. 2007 Ecology","Rainfall and Soils Modify Plant Community Response to Grazing in Serengeti National Park","Web_of_Science_Jan2023_Jonas","inside vs outside exclosure","high vs low",-2.333333,34.833332,"Serengeti National Park, Tanzania","Connochaetes taurinus mearnsi; Equus quagga; Gazella thomsoni; Tragelaphus oryx; Damaliscus lunatus; Tragelaphus imberbis;  Hippotragus equinus; Oreibia oreibi; Gazella granti; Alcelaphus buselaphus cokei; Raphicerus campestris; Oryx gazella; Syncerus caffer aequinoctialis; Giraffa camelopardalis reticulata; Tragelaphus scriptus; Phacochoerus aethiopicus; Tragelaphus spekei; Sylvicapra grimmia; Madoqua kirkii; Redunca redunca; Kobus ellipsiprymnus; Oreotragus oreotragus; Diceros bicornis michaeli; Hippopotamus amphibius","Native","Table 1","soil","P (mg/kg)","nutrients","","Soil",1,"P","Total_P","experiment_7647","Mean","SE","126.7","5",3,"111.5","2.9",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nutrients Soil",8.66025403784439,5.02294734194974,1.71316732309463,0.911245189743267,0.12779749642692,0.00223381842651548,"Ecosystem","Soil_Total_P","Native","Intact_Africa","site_65"
