Site,Species,PlantNo,Height,Width,CanopyDepth,Thickness,Thickness,Thickness,Thickness,Thickness,AverageThickness,DateCollected,Treatment
A4,Acacia longifolia,1,0.66,0.15,0.39,0.3,0.3,0.4,0.3,0.3,0.32,5/05/2021,Open
B1,Acacia longifolia,4,1.5,1.13,1.07,0.4,0.4,0.4,0.3,0.4,0.38,7/05/2021,Open
B1,Acacia longifolia,5,1.21,1.02,0.83,0.3,0.5,0.3,0.3,0.4,0.36,7/05/2021,Open
B1,Acacia longifolia,3,1.65,1.15,1.29,0.4,0.4,0.3,0.4,0.3,0.36,7/05/2021,Open
B1,Acacia longifolia,2,2.3,0.54,0.46,0.3,0.3,0.3,0.4,0.3,0.32,7/05/2021,Open
B1,Acacia longifolia,1,1.37,0.62,0.85,0.3,0.2,0.3,0.3,0.2,0.26,7/05/2021,Open
B3,Acacia longifolia,1,3.4,1.6,2.7,0.4,0.4,0.3,0.3,0.3,0.34,8/05/2021,Exclosure
B3,Acacia longifolia,3,2.4,1.57,1.81,0.3,0.3,0.3,0.4,0.4,0.34,8/05/2021,Exclosure
B3,Acacia longifolia,4,2.44,1.17,1.76,0.3,0.4,0.3,0.3,0.3,0.32,8/05/2021,Exclosure
B3,Acacia longifolia,5,3,1.3,2.13,0.3,0.3,0.3,0.3,0.3,0.3,8/05/2021,Exclosure
B3,Acacia longifolia,2,2.4,1.47,1.81,0.2,0.2,0.3,0.3,0.4,0.28,8/05/2021,Exclosure
B4,Acacia longifolia,1,2.45,1.15,1.65,0.3,0.3,0.3,0.3,0.3,0.3,10/05/2021,Exclosure
B4,Acacia longifolia,5,2.65,1.57,1.83,0.3,0.3,0.3,0.3,0.3,0.3,10/05/2021,Exclosure
B4,Acacia longifolia,4,1.98,1.36,1.56,0.3,0.3,0.3,0.4,0.2,0.3,10/05/2021,Exclosure
B4,Acacia longifolia,3,1.95,1.38,1.16,0.2,0.3,0.3,0.3,0.3,0.28,10/05/2021,Exclosure
B4,Acacia longifolia,2,2,0.69,1.55,0.3,0.3,0.2,0.2,0.3,0.26,10/05/2021,Exclosure
B6,Acacia longifolia,1,2.1,1.35,1.65,0.3,0.5,0.5,0.4,0.3,0.4,10/05/2021,Open
B6,Acacia longifolia,2,1.54,0.57,0.99,0.3,0.3,0.3,0.3,0.4,0.32,10/05/2021,Open
B6,Acacia longifolia,3,1.29,0.56,1.01,0.3,0.3,0.2,0.2,0.5,0.3,10/05/2021,Open
B6,Acacia longifolia,4,0.92,0.88,0.35,0.2,0.3,0.3,0.2,0.2,0.24,10/05/2021,Open
B6,Acacia longifolia,5,0.58,0.57,0.39,0.2,0.2,0.2,0.3,0.2,0.22,10/05/2021,Open
C1,Acacia longifolia,3,1.85,1.38,1.25,0.4,0.4,0.3,0.4,0.3,0.36,12/05/2021,Open
C1,Acacia longifolia,1,1.02,0.78,0.86,0.3,0.3,0.3,0.3,0.3,0.3,12/05/2021,Open
C1,Acacia longifolia,4,1.86,0.93,1.05,0.4,0.3,0.2,0.3,0.3,0.3,12/05/2021,Open
C1,Acacia longifolia,5,1.87,0.9,1.39,0.3,0.3,0.3,0.3,0.3,0.3,12/05/2021,Open
C1,Acacia longifolia,2,1.45,0.99,0.83,0.3,0.3,0.3,0.2,0.3,0.28,12/05/2021,Open
C3,Acacia longifolia,2,2.4,1.25,1.98,0.3,0.4,0.4,0.3,0.3,0.34,11/05/2021,Exclosure
