Site No.,Species Name,Fresh Weight,Time
A4,Gonocarpus,0.06,T1
A4,Gonocarpus,0.09,T1
A4,Gonocarpus,0.09,T1
A4,Gonocarpus,0.09,T1
A4,Gonocarpus,0.04,T1
A4,Themeda,0.21,T1
A4,Themeda,0.08,T1
A4,Acacia ,1.21,T1
A4,Pteridium,33.28,T1
A4,Pteridium,25.91,T1
A4,Pteridium,17.06,T1
A4,Pteridium,34.98,T1
A4,Pteridium,19.57,T1
A4,Imperata,1.53,T1
A4,Imperata,1.88,T1
A4,Imperata,1.55,T1
A4,Imperata,1.29,T1
A4,Imperata,1.7,T1
A4,Lepidosperma,1.78,T1
A4,Lepidosperma,3.2,T1
A4,Lepidosperma,2.57,T1
A4,Lepidosperma,4.36,T1
A4,Lepidosperma,2.31,T1
A4,Lomandra,48.86,T1
A4,Lomandra,30.72,T1
A4,Lomandra,37.45,T1
A4,Lomandra,27.5,T1
A4,Lomandra,22.35,T1
A5,Gonocarpus,0.1,T1
A5,Gonocarpus,0.08,T1
A5,Gonocarpus,0.07,T1
A5,Gonocarpus,0.08,T1
A5,Gonocarpus,0.1,T1
A5,Hardenbergia,0.86,T1
A5,Hardenbergia,0.58,T1
A5,Hardenbergia,1.07,T1
A5,Hardenbergia,0.86,T1
A5,Hardenbergia,0.83,T1
A5,Lepidosperma,4.38,T1
A5,Lepidosperma,3.54,T1
A5,Lepidosperma,6.27,T1
A5,Lepidosperma,4.79,T1
A5,Lepidosperma,2.07,T1
A5,Imperata,2.81,T1
A5,Imperata,1.87,T1
A5,Imperata,5.37,T1
A5,Imperata,3.39,T1
A5,Imperata,2.5,T1
A5,Pteridium,40.43,T1
A5,Pteridium,64.5,T1
A5,Pteridium,41.25,T1
A5,Pteridium,31.12,T1
A5,Pteridium,45.82,T1
A5,Themeda,0.51,T1
A5,Themeda,0.29,T1
A5,Themeda,0.25,T1
A5,Themeda,0.46,T1
A5,Themeda,0.51,T1
A2,Gonocarpus,0.04,T1
A2,Gonocarpus,0.04,T1
A2,Gonocarpus,0.07,T1
A2,Gonocarpus,0.07,T1
A2,Gonocarpus,0.05,T1
A1,Themeda,0.4,T1
A1,Themeda,0.42,T1
A1,Themeda,0.44,T1
A2,Hardenbergia,0.74,T1
A2,Imperata,2.23,T1
A2,Imperata,0.81,T1
A2,Imperata,1.37,T1
A2,Imperata,1.45,T1
A2,Imperata,1.92,T1
A2,Lepidosperma,5.67,T1
A2,Lepidosperma,2.79,T1
A2,Lepidosperma,3.7,T1
A2,Lepidosperma,4.39,T1
A2,Lepidosperma,4.38,T1
A1,Gonocarpus,0.07,T1
A1,Gonocarpus,0.13,T1
A1,Gonocarpus,0.09,T1
A1,Gonocarpus,0.06,T1
A1,Gonocarpus,0.09,T1
A1,Hardenbergia,0.25,T1
A1,Hardenbergia,0.66,T1
A1,Hardenbergia,0.56,T1
A1,Hardenbergia,0.4,T1
A1,Hardenbergia,0.57,T1
A1,Lepidosperma,2.41,T1
A1,Lepidosperma,1.71,T1
A1,Lepidosperma,2.91,T1
A1,Lepidosperma,1.69,T1
A1,Lepidosperma,2.72,T1
B1,Glycine,0.14,T1
B1,Glycine,0.14,T1
B1,Glycine,0.25,T1
B1,Glycine,0.15,T1
B1,Glycine,0.04,T1
B1,Themeda,0.21,T1
B1,Themeda,0.14,T1
B1,Imperata,4.17,T1
B1,Imperata,3.59,T1
B1,Imperata,2.39,T1
B1,Imperata,2.8,T1
B1,Imperata,2.95,T1
B3,Glycine,0.18,T1
B3,Glycine,0.53,T1
B3,Glycine,0.58,T1
B3,Themeda,0.39,T1
B3,Themeda,0.4,T1
B1,Acacia ,2.81,T1
B1,Acacia ,2.08,T1
B1,Acacia ,2.62,T1
B1,Acacia ,2.22,T1
B1,Acacia ,2.33,T1
B1,Hardenbergia,0.46,T1
B1,Hardenbergia,0.38,T1
B1,Hardenbergia,0.37,T1
B1,Hardenbergia,0.61,T1
B1,Hardenbergia,0.64,T1
B1,Lepidosperma,4.18,T1
B1,Lepidosperma,3.82,T1
B1,Lepidosperma,3.2,T1
B1,Lepidosperma,4.7,T1
B1,Lepidosperma,3.76,T1
B3,Imperata,3.36,T1
B3,Imperata,1.28,T1
B3,Imperata,2.05,T1
B3,Imperata,3.18,T1
B3,Imperata,1.67,T1
B3,Gonocarpus,0.09,T1
B3,Gonocarpus,0.03,T1
B3,Gonocarpus,0.05,T1
B3,Gonocarpus,0.11,T1
B3,Hardenbergia,1.47,T1
B3,Hardenbergia,1.36,T1
B3,Acacia ,1.81,T1
B3,Acacia ,1.97,T1
B3,Acacia ,1.94,T1
B3,Acacia ,1.79,T1
B3,Acacia ,2.3,T1
B3,Glycine,0.27,T1
B3,Glycine,0.2,T1
B3,Glycine,0.18,T1
B3,Glycine,0.36,T1
B3,Lepidosperma,2.4,T1
B3,Lepidosperma,2.98,T1
B3,Lepidosperma,1.9,T1
B3,Lepidosperma,4.56,T1
B3,Lepidosperma,2.29,T1
B6,Glycine,0.14,T1
B6,Glycine,0.07,T1
B6,Glycine,0.23,T1
B6,Glycine,0.14,T1
B6,Glycine,0.13,T1
B4,Glycine,0.46,T1
B4,Glycine,0.44,T1
B4,Glycine,0.24,T1
B4,Glycine,0.2,T1
B4,Glycine,0.23,T1
B4,Themeda,0.19,T1
B4,Themeda,0.28,T1
B4,Themeda,0.14,T1
B4,Themeda,0.23,T1
B4,Themeda,0.33,T1
B6,Themeda,0.16,T1
B6,Themeda,0.16,T1
B6,Themeda,0.42,T1
B6,Themeda,0.31,T1
B6,Themeda,0.21,T1
B6,Acacia ,1.26,T1
B6,Acacia ,0.94,T1
B6,Acacia ,1.93,T1
B6,Acacia ,1.46,T1
B6,Acacia ,3.02,T1
B4,Acacia ,1.57,T1
B4,Acacia ,1.99,T1
B4,Acacia ,1.71,T1
B4,Acacia ,1.61,T1
B4,Acacia ,1.97,T1
B4,Hardenbergia,5.44,T1
B4,Hardenbergia,1.75,T1
B4,Hardenbergia,1.62,T1
B4,Hardenbergia,0.94,T1
B4,Hardenbergia,1.6,T1
B6,Hardenbergia,0.62,T1
B6,Hardenbergia,0.29,T1
B6,Hardenbergia,0.44,T1
B4,Gonocarpus,0.08,T1
B4,Gonocarpus,0.12,T1
B4,Gonocarpus,0.08,T1
B4,Gonocarpus,0.06,T1
B4,Gonocarpus,0.14,T1
B6,Gonocarpus,0.1,T1
B6,Gonocarpus,0.19,T1
B6,Gonocarpus,0.1,T1
B6,Gonocarpus,0.09,T1
B6,Gonocarpus,0.06,T1
B4,Imperata,4.01,T1
B4,Imperata,3.34,T1
B4,Imperata,2.73,T1
B4,Imperata,2.55,T1
B4,Imperata,2.48,T1
B6,Imperata,2.07,T1
B6,Imperata,3.05,T1
B6,Imperata,2.33,T1
B6,Imperata,3.49,T1
B6,Imperata,4.35,T1
C3,Glycine,0.49,T1
C3,Glycine,0.26,T1
C3,Glycine,0.19,T1
