Sites,Treatment,Acacia longifolia,Glycine clandestina,Gonocarpus teucrioides,Hardenbergia violaceae,Imperata cylindrica,Lepidosperma concavum,Lomandra longifolia,Pteridium esculentum,Themeda australis,Acacia terminalis,Elaeocarpus reticulatus,Hibbertia linearis,Ricinocarpus pinifolius,Banksia serrata,Bossiaea ensata,Bossiaea heterophylla,Caustis Flexuosa,Acacia ulicifolia,Smilax glyciphylla,Synoum glandulosum,Corymbia gummifera,Desmodium rhytidophyllus,Hibbertia scandens,Livistona australis,Marsdenia rostrata,Calochlaena dubia,Syncarpia glomulifera,Zieria smithii,Cissus hypoglauca,Dampiera purpurea,Lomandra glauca,Patersonia sericea,Persoonia linearis,Leucopogon lanceolatus,Eustrephus latifolius,Billardiera scandens,Dianella caerulea,Pultenaea palacea,Xanthosia pilosa
A1,Open,n/a,n/a,n/a,n/a,n/a,3.75,2.5,7.5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.25,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.5,2.125,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
A2,Exclosure,n/a,n/a,11.25,n/a,n/a,5.25,2.25,3,n/a,3.25,3.75,2,2.25,n/a,n/a,n/a,n/a,n/a,0.25,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.375,n/a,n/a,0.125,n/a,n/a,n/a,n/a,0.25,n/a
A4,Open,n/a,n/a,n/a,n/a,n/a,2.5,1,7.5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.25,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.125,n/a,n/a,n/a,n/a,n/a
A5,Exclosure,n/a,n/a,1.25,0.25,0.25,0.875,0.625,13.75,0.25,n/a,n/a,0.125,0.75,1.25,0.625,1.25,1.375,n/a,0.25,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.25,n/a,n/a,0.125,n/a,n/a,n/a,n/a,n/a
B1,Open,0.875,n/a,n/a,n/a,n/a,4,1.75,16.25,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.75,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.5,n/a,n/a,n/a,n/a,n/a,n/a,n/a
B3,Exclosure,10.5,n/a,0.125,n/a,0.25,1.25,13.5,6.25,n/a,4.75,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.75,0.5,3.75,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.125,n/a,n/a,n/a,0.125,n/a,n/a,n/a,n/a
B4,Exclosure,0.125,0.75,n/a,n/a,0.625,0.875,6.375,4.5,0.25,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,9,0.5,0.5,0.875,6.375,1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.125,n/a,n/a,n/a
B6,Open,n/a,n/a,n/a,n/a,0.25,0.125,6.5,10.25,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3.5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
C1,Open,0.75,n/a,0.875,n/a,0.125,3.75,9.25,10.75,0.125,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.125,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
C3,Exclosure,2.125,0.375,n/a,n/a,n/a,1,2.625,1.75,n/a,n/a,0.75,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2.25,n/a,n/a,0.5,n/a,n/a,23,1.25,0.5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.25
C4,Exclosure,3.625,n/a,3,n/a,n/a,3.25,5.75,5.25,2.125,n/a,0.75,n/a,n/a,n/a,n/a,n/a,n/a,0.125,0.125,0.25,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2.25,n/a,n/a,n/a,n/a,0.375,n/a,n/a,0.125,n/a,n/a
C6,Open,n/a,n/a,n/a,n/a,n/a,3.25,5,5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,7,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
