Species,Treatment,N(%),C(%)
Acacia longifolia,Exclosure,2.573,50.91
Acacia longifolia,Exclosure,2.54,51.12
Acacia longifolia,Open,2.26,50.16
Acacia longifolia,Open,1.707,37.38
Acacia longifolia,Exclosure,2.276,51.4
Acacia longifolia,Open,2.62,50.78
Acacia longifolia,Open,2.504,50.83
Acacia longifolia,Open,2.399,51.08
Acacia longifolia,Exclosure,2.662,51.8
Glycine clandestina,Open,3.592,43.94
Glycine clandestina,Exclosure,3.831,44.99
Glycine clandestina,Open,3.973,44.26
Glycine clandestina,Open,3.447,43.29
Glycine clandestina,Exclosure,3.729,44.72
Glycine clandestina,Open,3.138,43.22
Glycine clandestina,Exclosure,3.787,44.08
Glycine clandestina,Exclosure,3.848,44.68
Gonocarpus teucrioides,Open,1.48,37.69
Gonocarpus teucrioides,Open,1.527,37.3
Gonocarpus teucrioides,Exclosure,1.666,38.18
Gonocarpus teucrioides,Exclosure,1.478,38.87
Gonocarpus teucrioides,Open,1.493,38.58
Gonocarpus teucrioides,Exclosure,1.455,37.49
Gonocarpus teucrioides,Open,1.647,38.35
Gonocarpus teucrioides,Exclosure,1.237,40.27
Gonocarpus teucrioides,Exclosure,1.401,39.36
Gonocarpus teucrioides,Exclosure,1.354,39.92
Hardenbergia violacea,Open,2.225,47.52
Hardenbergia violacea,Open,2.007,47
Hardenbergia violacea,Exclosure,2.176,48.02
Hardenbergia violacea,Open,2.406,46.81
Hardenbergia violacea,Exclosure,1.487,47.24
Hardenbergia violacea,Exclosure,1.878,48
Hardenbergia violacea,Open,1.979,47.65
Hardenbergia violacea,Open,1.895,46.96
Hardenbergia violacea,Exclosure,1.845,47.69
Hardenbergia violacea,Exclosure,1.843,48.61
Hardenbergia violacea,Exclosure,2.227,47.64
Imperata cylindrica,Open,1.253,46.51
Imperata cylindrica,Exclosure,0.935,45.02
Imperata cylindrica,Exclosure,0.948,46.28
Imperata cylindrica,Open,0.959,45.37
Imperata cylindrica,Exclosure,1.05,46.74
Imperata cylindrica,Exclosure,1.151,44.89
Imperata cylindrica,Open,1.128,45.17
Imperata cylindrica,Open,1.392,45.97
Imperata cylindrica,Exclosure,1.199,45.77
Imperata cylindrica,Open,1.327,45.54
Imperata cylindrica,Exclosure,1.425,45.06
Lepidosperma concavum,Exclosure,0.705,46.08
Lepidosperma concavum,Open,0.589,45.64
Lepidosperma concavum,Exclosure,0.6,45.94
Lepidosperma concavum,Open,0.592,45.29
Lepidosperma concavum,Open,0.668,45.8
Lepidosperma concavum,Exclosure,0.51,46.35
Lepidosperma concavum,Exclosure,0.441,45.9
Lepidosperma concavum,Open,0.62,45.95
Lepidosperma concavum,Open,0.586,45.62
Lepidosperma concavum,Open,0.546,46.03
Lepidosperma concavum,Exclosure,0.568,45.3
Lomandra longifolia,Exclosure,0.929,47.3
Lomandra longifolia,Open,0.983,47.04
Lomandra longifolia,Open,0.79,46.46
Lomandra longifolia,Exclosure,0.921,47.33
Lomandra longifolia,Open,0.976,47.39
Lomandra longifolia,Exclosure,0.829,46.77
Lomandra longifolia,Open,0.963,46.66
Lomandra longifolia,Open,0.899,46.62
Lomandra longifolia,Exclosure,0.784,46.6
Lomandra longifolia,Exclosure,1.002,47.12
Lomandra longifolia,Exclosure,0.845,46.79
Lomandra longifolia,Open,1,47.32
Pteridium esculentum,Open,1.207,46.74
Pteridium esculentum,Open,1.151,47.62
Pteridium esculentum,Exclosure,1.055,47.71
Pteridium esculentum,Exclosure,1.262,48.09
Pteridium esculentum,Open,1.229,46.97
Pteridium esculentum,Exclosure,1.153,47.66
Pteridium esculentum,Open,1.095,46.91
Pteridium esculentum,Exclosure,1.2,46.94
Pteridium esculentum,Exclosure,1.065,47.09
Pteridium esculentum,Exclosure,1.404,46.81
Pteridium esculentum,Open,1.32,47.39
Pteridium esculentum,Open,1.323,48.38
Themeda australis,Exclosure,1.743,44.97
Themeda australis,Open,1.447,44.7
Themeda australis,Open,1.439,42.93
Themeda australis,Exclosure,1.693,44.65
Themeda australis,Exclosure,1.366,45.33
Themeda australis,Exclosure,1.71,43.11
Themeda australis,Open,1.772,44.77
Themeda australis,Open,1.666,44.6
Themeda australis,Open,1.439,45.4
Themeda australis,Exclosure,1.537,44.1
Lepidosperma concavum,Exclosure,0.5648,45.914
