Site,Species,Treatment,SLA,MC2
A4,Acacia longifolia,Open,12.2342727,248.4770851
B1,Acacia longifolia,Open,12.04323251,253.7885732
B1,Acacia longifolia,Open,10.89,236.0151515
B1,Acacia longifolia,Open,8.514550265,189.7707231
B1,Acacia longifolia,Open,10.3245081,200.0868056
B1,Acacia longifolia,Open,11.48224527,243.8682123
B3,Acacia longifolia,Exclosure,12.43063116,241.1505076
B3,Acacia longifolia,Exclosure,11.36241135,219.8404255
B3,Acacia longifolia,Exclosure,11.1952381,220.1149425
B3,Acacia longifolia,Exclosure,9.47947995,210.9962406
B3,Acacia longifolia,Exclosure,10.62240815,233.9396144
B4,Acacia longifolia,Exclosure,11.98460449,245.7264201
B4,Acacia longifolia,Exclosure,12.78854701,252.5128205
B4,Acacia longifolia,Exclosure,10.46972674,213.3416682
B4,Acacia longifolia,Exclosure,11.36690792,228.4077201
B4,Acacia longifolia,Exclosure,11.43909513,214.0177881
B6,Acacia longifolia,Open,8.981437831,205.9811432
B6,Acacia longifolia,Open,10.01707317,209.2479675
B6,Acacia longifolia,Open,12.55257271,262.5559284
B6,Acacia longifolia,Open,11.80091614,251.744186
B6,Acacia longifolia,Open,12.48331415,270.8860759
C1,Acacia longifolia,Open,10.92774512,223.8004931
C1,Acacia longifolia,Open,8.928134064,189.381244
C1,Acacia longifolia,Open,8.510086455,185.0830246
C1,Acacia longifolia,Open,10.26800154,196.6114748
C3,Acacia longifolia,Exclosure,11.85782922,205.503385
C3,Acacia longifolia,Exclosure,13.47830449,246.3004765
C3,Acacia longifolia,Exclosure,14.17206193,265.8339198
C3,Acacia longifolia,Exclosure,13.00985958,223.4389005
C3,Acacia longifolia,Exclosure,13.38438228,224.3356643
C4,Acacia longifolia,Exclosure,10.45835818,207.4537865
C4,Acacia longifolia,Exclosure,13.22251688,253.6162006
C4,Acacia longifolia,Exclosure,12.55438914,253.2850679
C4,Acacia longifolia,Exclosure,13.41460542,257.2438163
C4,Acacia longifolia,Exclosure,11.37620246,236.6582803
C6,Acacia longifolia,Open,10.96187625,240
C6,Acacia longifolia,Open,10.32282304,213.1280389
C6,Acacia longifolia,Open,10.10483614,204.4384346
C6,Acacia longifolia,Open,9.840500219,208.1834138
C6,Acacia longifolia,Open,10.78125449,214.0519592
B1,Glycine clandestina,Open,48.80701754,355.2631579
B1,Glycine clandestina,Open,34.01117318,294.1340782
B1,Glycine clandestina,Open,44.60778443,331.7365269
B1,Glycine clandestina,Open,50.65909091,430.785124
B1,Glycine clandestina,Open,30.24154589,256.5217391
B3,Glycine clandestina,Exclosure,37.42130366,357.9491256
B3,Glycine clandestina,Exclosure,31.90422323,286.199095
B3,Glycine clandestina,Exclosure,39.76553672,401.6949153
B3,Glycine clandestina,Exclosure,67.61538462,633.3333333
B3,Glycine clandestina,Exclosure,42.21076233,484.529148
B3,Glycine clandestina,Exclosure,68.769437,471.3136729
B3,Glycine clandestina,Exclosure,36.01501877,477.9724656
B4,Glycine clandestina,Exclosure,31.73574144,355.513308
B4,Glycine clandestina,Exclosure,33.92355372,345.661157
B4,Glycine clandestina,Exclosure,26.63157895,282.1371611
B4,Glycine clandestina,Exclosure,33.023692,305.6268509
B4,Glycine clandestina,Exclosure,29.91653291,259.0690209
B6,Glycine clandestina,Open,42.76045627,377.9467681
B6,Glycine clandestina,Open,43.68194842,311.747851
B6,Glycine clandestina,Open,51.61884368,367.0235546
B6,Glycine clandestina,Open,51.00609756,375.6097561
B6,Glycine clandestina,Open,50.84536082,365.9793814
C1,Glycine clandestina,Open,27.9980315,265.7480315
C1,Glycine clandestina,Open,33.59067358,285.6649396
C1,Glycine clandestina,Open,36.49328859,293.2885906
C1,Glycine clandestina,Open,29.62467866,269.151671
C1,Glycine clandestina,Open,35.79525223,302.0771513
C3,Glycine clandestina,Exclosure,35.78280543,321.9004525
C3,Glycine clandestina,Exclosure,38.07006369,294.4267516
C3,Glycine clandestina,Exclosure,52.79404467,344.9131514
C3,Glycine clandestina,Exclosure,38.8100471,293.7205651
C3,Glycine clandestina,Exclosure,37.05867971,338.2640587
C4,Glycine clandestina,Exclosure,33.57211538,310.0961538
C4,Glycine clandestina,Exclosure,24.9754902,341.1764706
C4,Glycine clandestina,Exclosure,29.31751825,260.9489051
C4,Glycine clandestina,Exclosure,36.80796253,339.8126464
C4,Glycine clandestina,Exclosure,39.48679245,353.2075472
C6,Glycine clandestina,Open,35.8156682,304.1474654
C6,Glycine clandestina,Open,36.26086957,306.5217391
C6,Glycine clandestina,Open,39.59879032,337.9032258
C6,Glycine clandestina,Open,44.36024845,336.9565217
C6,Glycine clandestina,Open,35.28571429,305.7142857
A1,Gonocarpus teucrioides,Open,26.84313725,481.372549
A1,Gonocarpus teucrioides,Open,26.78971963,472.4299065
A1,Gonocarpus teucrioides,Open,34.41269841,600
A1,Gonocarpus teucrioides,Open,13.86597938,182.4742268
A1,Gonocarpus teucrioides,Open,19.98882682,385.4748603
A2,Gonocarpus teucrioides,Exclosure,25.27173913,408.6956522
A2,Gonocarpus teucrioides,Exclosure,18.44578313,310.8433735
A2,Gonocarpus teucrioides,Exclosure,26.30693069,388.1188119
A2,Gonocarpus teucrioides,Exclosure,27.36440678,489.8305085
A2,Gonocarpus teucrioides,Exclosure,23.64772727,351.1363636
A4,Gonocarpus teucrioides,Open,28.17475728,572.815534
A4,Gonocarpus teucrioides,Open,41.80392157,626.4705882
A4,Gonocarpus teucrioides,Open,44.91666667,663.8888889
A4,Gonocarpus teucrioides,Open,26.90972222,443.75
A4,Gonocarpus teucrioides,Open,49.89473684,689.4736842
A5,Gonocarpus teucrioides,Exclosure,27.98518519,471.1111111
A5,Gonocarpus teucrioides,Exclosure,27.58646617,496.2406015
A5,Gonocarpus teucrioides,Exclosure,24.41293532,387.0646766
A5,Gonocarpus teucrioides,Exclosure,22.37777778,399.2592593
