Species,variable,mean_Exclosure,mean_Open,sd_Exclosure,sd_Open,n_Exclosure,n_Open
Acacia longifolia,N,2.51275,2.298,0.166030870623508,0.356035812805397,4,5
Acacia longifolia,C,51.3075,48.046,0.384826800868478,5.97208338856717,4,5
Glycine clandestina,N,3.79875,3.5375,0.0531311270976502,0.346612656048987,4,4
Glycine clandestina,C,44.6175,43.6775,0.383872808796526,0.505857358023649,4,4
Gonocarpus teucrioides,N,1.43183333333333,1.53675,0.143157838299782,0.0761243500245924,6,4
Gonocarpus teucrioides,C,39.015,37.98,1.05422483370484,0.58974570791147,6,4
Hardenbergia violacea,N,1.90933333333333,2.1024,0.268294365700562,0.208894231610162,6,5
Hardenbergia violacea,C,47.8666666666667,47.188,0.462413955960097,0.372115573444595,6,5
Imperata cylindrica,N,1.118,1.2118,0.18379989118604,0.172025288838589,6,5
Imperata cylindrica,C,45.6266666666667,45.712,0.764033158093722,0.534714877294432,6,5
Lepidosperma concavum,N,0.5648,0.600166666666667,0.0885830683595911,0.0407941989339988,6,6
Lepidosperma concavum,C,45.914,45.7216666666667,0.345114473761969,0.267089248504441,6,6
Lomandra longifolia,N,0.885,0.935166666666667,0.0798223026478189,0.0791389074139052,6,6
Lomandra longifolia,C,46.985,46.915,0.306251530608418,0.390985933250802,6,6
Pteridium esculentum,N,1.18983333333333,1.22083333333333,0.131376431168862,0.0908194178943395,6,6
Pteridium esculentum,C,47.3833333333333,47.335,0.508710788824718,0.60731375745985,6,6
Themeda australis,N,1.6098,1.5526,0.157672762390972,0.156490574796056,5,5
Themeda australis,C,44.432,44.48,0.866210136167893,0.921384827311586,5,5
