Variable,Description
year,years since monitoring started
quad,numerical ID for permanent quadrat
site,"NYS state park where data was collected (""TG"" = Taughannock Falls State Park (Ithaca, N.Y.), ""BM"" = Buttermilk Falls State Park (Ithaca, N.Y.), ""GL"" = Green Lakes State Park (Fayetteville, N.Y.)"
area,"Management area (""M"" = Managed, ""R"" = Reference)"
plot,"Plot testing effects of deer and V. rossicum invasion (""F"" = Fenced, ""O"" = Open, ""N"" = No V. rossicum)"
aceneg,"Cover of Acer negundo in categories by percent of total 0.5x1 m quadrat (0 = 0%, 2.5 = 0.001-5%, 15 = 5.001-25%, 37.5 = 25.001-50%, 62.5 = 50.001-75%, 87.5 = 75.001-100%)"
acerub,"Cover of Acer rubrum in categories by percent of total 0.5x1 m quadrat (0 = 0%, 2.5 = 0.001-5%, 15 = 5.001-25%, 37.5 = 25.001-50%, 62.5 = 50.001-75%, 87.5 = 75.001-100%)"
acesac,"Cover of Acer saccharum in categories by percent of total 0.5x1 m quadrat (0 = 0%, 2.5 = 0.001-5%, 15 = 5.001-25%, 37.5 = 25.001-50%, 62.5 = 50.001-75%, 87.5 = 75.001-100%)"
actsp,"Cover of Actaea spp. in categories by percent of total 0.5x1 m quadrat (0 = 0%, 2.5 = 0.001-5%, 15 = 5.001-25%, 37.5 = 25.001-50%, 62.5 = 50.001-75%, 87.5 = 75.001-100%)"
agealt,"Cover of Ageratina altissima in categories by percent of total 0.5x1 m quadrat (0 = 0%, 2.5 = 0.001-5%, 15 = 5.001-25%, 37.5 = 25.001-50%, 62.5 = 50.001-75%, 87.5 = 75.001-100%)"
allpet,"Cover of Alliaria petiolata in categories by percent of total 0.5x1 m quadrat (0 = 0%, 2.5 = 0.001-5%, 15 = 5.001-25%, 37.5 = 25.001-50%, 62.5 = 50.001-75%, 87.5 = 75.001-100%)"
amesp,"Cover of Amelanchier spp. in categories by percent of total 0.5x1 m quadrat (0 = 0%, 2.5 = 0.001-5%, 15 = 5.001-25%, 37.5 = 25.001-50%, 62.5 = 50.001-75%, 87.5 = 75.001-100%)"
ampbra,"Cover of Amphicarpaea bractiata in categories by percent of total 0.5x1 m quadrat (0 = 0%, 2.5 = 0.001-5%, 15 = 5.001-25%, 37.5 = 25.001-50%, 62.5 = 50.001-75%, 87.5 = 75.001-100%)"
aneacu,"Cover of Anemone acutiloba in categories by percent of total 0.5x1 m quadrat (0 = 0%, 2.5 = 0.001-5%, 15 = 5.001-25%, 37.5 = 25.001-50%, 62.5 = 50.001-75%, 87.5 = 75.001-100%)"
aranud,"Cover of Aralia nudicaulis in categories by percent of total 0.5x1 m quadrat (0 = 0%, 2.5 = 0.001-5%, 15 = 5.001-25%, 37.5 = 25.001-50%, 62.5 = 50.001-75%, 87.5 = 75.001-100%)"
aritri,"Cover of Arisaema triphyllum in categories by percent of total 0.5x1 m quadrat (0 = 0%, 2.5 = 0.001-5%, 15 = 5.001-25%, 37.5 = 25.001-50%, 62.5 = 50.001-75%, 87.5 = 75.001-100%)"
asacan,"Cover of Asarum canadense in categories by percent of total 0.5x1 m quadrat (0 = 0%, 2.5 = 0.001-5%, 15 = 5.001-25%, 37.5 = 25.001-50%, 62.5 = 50.001-75%, 87.5 = 75.001-100%)"
berthu,"Cover of Berberis thunbergii in categories by percent of total 0.5x1 m quadrat (0 = 0%, 2.5 = 0.001-5%, 15 = 5.001-25%, 37.5 = 25.001-50%, 62.5 = 50.001-75%, 87.5 = 75.001-100%)"
cardip,"Cover of Cardamine diphylla in categories by percent of total 0.5x1 m quadrat (0 = 0%, 2.5 = 0.001-5%, 15 = 5.001-25%, 37.5 = 25.001-50%, 62.5 = 50.001-75%, 87.5 = 75.001-100%)"
