year,site,area,species,growth_form,nativeness,mean_High_Megafauna,mean_No_Megafauna,sd_High_Megafauna,sd_No_Megafauna,n_High_Megafauna,n_No_Megafauna
1,BM,R,Acer rubrum,tree,Native,0.833333333333333,0.277777777777778,1.25,0.833333333333334,9,9
1,BM,R,Acer saccharum,tree,Native,5,0.277777777777778,5.7282196186948,0.833333333333333,9,9
1,BM,R,Alliaria petiolata,forb,Introduced,5.83333333333333,0.277777777777778,6.95970545353753,0.833333333333334,9,9
1,BM,R,Berberis thunbergii,shrub,Introduced,3.33333333333333,3.33333333333333,6.61437827766148,6.61437827766148,9,9
1,BM,R,Dryopteris spp.,fern,Native,1.94444444444444,1.66666666666667,4.96515636992208,5,9,9
1,BM,R,Fraxinus spp.,tree,Native,3.33333333333333,4.72222222222222,4.50693909432999,5.92194600147996,9,9
1,BM,R,Galium spp.,forb,Native,6.66666666666667,0.833333333333333,7.90569415042095,1.25,9,9
1,BM,R,Geranium robertianum,forb,Native,2.5,6.11111111111111,4.84122918275927,6.74433919009944,9,9
1,BM,R,Lapsana communis,forb,Introduced,0.555555555555556,1.94444444444444,1.10239637961025,4.96515636992208,9,9
1,BM,R,Myosotis sylvatica,forb,Introduced,2.77777777777778,7.22222222222222,4.75073093791308,7.44190462478823,9,9
1,BM,R,Parthenocissus quinquefolia,vine,Native,5.83333333333333,0.833333333333333,6.95970545353753,1.25,9,9
1,BM,R,Symphiotrichum spp.,forb,Unknown,0.277777777777778,0.277777777777778,0.833333333333333,0.833333333333334,9,9
1,BM,R,Toxicodendron radicans,vine,Native,2.22222222222222,1.66666666666667,4.91242755106317,5,9,9
1,BM,R,Vincetoxicum rossicum,vine,Introduced,1.94444444444444,0.555555555555556,4.96515636992208,1.10239637961025,9,9
1,GL,R,Acer saccharum,tree,Native,4.44444444444444,1.66666666666667,6.09530784930325,5,9,9
1,GL,R,Alliaria petiolata,forb,Introduced,1.11111111111111,0.555555555555556,1.31761569173683,1.10239637961025,9,9
1,GL,R,Carex hitchcockiana,graminoid,Native,0.833333333333333,1.66666666666667,1.25,5,9,9
1,GL,R,Carya spp.,tree,Native,0.277777777777778,0.277777777777778,0.833333333333334,0.833333333333334,9,9
1,GL,R,Circaea lutetiana,forb,Native,1.11111111111111,5.83333333333333,1.31761569173682,6.95970545353753,9,9
1,GL,R,Cornus spp.,shrub,Native,0.277777777777778,5,0.833333333333334,7.5,9,9
1,GL,R,Fraxinus spp.,tree,Native,1.94444444444444,1.94444444444444,4.96515636992208,4.96515636992208,9,9
1,GL,R,Geranium robertianum,forb,Native,4.16666666666667,1.66666666666667,6.25,5,9,9
1,GL,R,Hydrophyllum virginianum,forb,Native,2.22222222222222,2.22222222222222,4.91242755106317,4.91242755106317,9,9
1,GL,R,Parthenocissus quinquefolia,vine,Native,17.2222222222222,1.66666666666667,20.4421609533935,5,9,9
1,GL,R,Rhamnus cathartica,shrub,Introduced,5.83333333333333,0.277777777777778,6.95970545353753,0.833333333333333,9,9
1,GL,R,Rosa multiflora,shrub,Introduced,5,31.9444444444444,7.5,27.6071146224624,9,9
1,GL,R,Tilia americana,tree,Native,2.5,0.555555555555556,4.84122918275927,1.10239637961025,9,9
1,GL,R,Vincetoxicum rossicum,vine,Introduced,16.3888888888889,12.5,16.822191031822,19.9608992783391,9,9
1,GL,R,Vitus spp.,vine,Unknown,0.277777777777778,1.66666666666667,0.833333333333333,5,9,9
1,TG,R,Dactylis glomerata,graminoid,Introduced,1.66666666666667,16.9444444444444,5,13.0370732059683,9,9
1,TG,R,Dryopteris spp.,fern,Native,1.94444444444444,0.833333333333333,4.96515636992208,1.25,9,9
1,TG,R,Lonicera spp.,shrub,Unknown,1.94444444444444,2.5,4.96515636992208,4.84122918275927,9,9
1,TG,R,Polystichum acrostichoides,fern,Native,1.66666666666667,0.555555555555556,5,1.10239637961025,9,9
1,TG,R,Solidago caesia,forb,Native,0.555555555555556,1.94444444444444,1.10239637961025,4.96515636992208,9,9
1,TG,R,Toxicodendron radicans,vine,Native,0.277777777777778,0.555555555555556,0.833333333333334,1.10239637961025,9,9
1,TG,R,Veronica spp.,forb,Native,0.277777777777778,0.277777777777778,0.833333333333333,0.833333333333334,9,9
1,TG,R,Vincetoxicum rossicum,vine,Introduced,15.8333333333333,4.16666666666667,9.51971638232989,6.25,9,9
3,BM,R,Acer rubrum,tree,Native,0.277777777777778,3.05555555555556,0.833333333333333,4.63980363569169,9,9
3,BM,R,Acer saccharum,tree,Native,6.11111111111111,1.38888888888889,6.74433919009944,1.31761569173683,9,9
3,BM,R,Alliaria petiolata,forb,Introduced,16.6666666666667,5.83333333333333,13.4047566184545,6.95970545353753,9,9
3,BM,R,Berberis thunbergii,shrub,Introduced,3.33333333333333,1.94444444444444,6.61437827766148,4.96515636992208,9,9
3,BM,R,Dryopteris spp.,fern,Native,2.22222222222222,1.66666666666667,4.91242755106317,5,9,9
3,BM,R,Fraxinus spp.,tree,Native,4.16666666666667,1.94444444444444,6.25,4.96515636992208,9,9
3,BM,R,Galium spp.,forb,Native,16.9444444444444,0.833333333333333,27.3512390537938,1.25,9,9
3,BM,R,Geranium robertianum,forb,Native,0.277777777777778,2.5,0.833333333333334,4.84122918275927,9,9
3,BM,R,Myosotis sylvatica,forb,Introduced,3.33333333333333,8.33333333333333,6.61437827766148,7.90569415042095,9,9
3,BM,R,Parthenocissus quinquefolia,vine,Native,7.22222222222222,1.38888888888889,7.44190462478823,1.31761569173683,9,9
3,BM,R,Pinus strobus,tree,Native,0.555555555555556,3.61111111111111,1.10239637961025,4.35012771204606,9,9
3,BM,R,Rosa multiflora,shrub,Introduced,0.277777777777778,1.94444444444444,0.833333333333334,4.96515636992208,9,9
