year,site,mean_High_Megafauna,mean_No_Megafauna,sd_High_Megafauna,sd_No_Megafauna,n_High_Megafauna,n_No_Megafauna,nativeness,growth_form
1,BM,6.66666666666667,5.33333333333333,2.39791576165636,2.64575131106459,9,9,mixed,total
1,BM,2,1.88888888888889,1.4142135623731,1.45296631451356,9,9,Introduced,total
1,BM,4.33333333333333,3.33333333333333,1.73205080756888,1.5,9,9,Native,total
1,BM,0.222222222222222,0.111111111111111,0.440958551844098,0.333333333333333,9,9,mixed,fern
1,BM,2.66666666666667,2.66666666666667,1.5,1.22474487139159,9,9,mixed,forb
1,BM,0,0,0,0,9,9,mixed,graminoid
1,BM,0.444444444444444,0.666666666666667,0.726483157256779,0.866025403784439,9,9,mixed,shrub
1,BM,2,1.11111111111111,0.707106781186548,0.600925212577332,9,9,mixed,tree
1,BM,1.33333333333333,0.777777777777778,1.11803398874989,1.092906420717,9,9,mixed,vine
1,GL,8.22222222222222,4.88888888888889,1.092906420717,2.26077666104176,9,9,mixed,total
1,GL,2.22222222222222,2,1.20185042515466,0.5,9,9,Introduced,total
1,GL,5.66666666666667,2.55555555555556,0.866025403784439,1.9436506316151,9,9,Native,total
1,GL,0,0,0,0,9,9,mixed,fern
1,GL,2.55555555555556,1.44444444444444,1.0137937550497,1.50923085635624,9,9,mixed,forb
1,GL,0.444444444444444,0.111111111111111,0.52704627669473,0.333333333333333,9,9,mixed,graminoid
1,GL,1.88888888888889,1.55555555555556,1.05409255338946,0.726483157256779,9,9,mixed,shrub
1,GL,1.44444444444444,0.666666666666667,1.0137937550497,0.866025403784439,9,9,mixed,tree
1,GL,1.88888888888889,1.11111111111111,0.600925212577332,0.927960727138337,9,9,mixed,vine
1,TG,3.33333333333333,4.44444444444444,2.5,2.06827894099848,9,9,mixed,total
1,TG,1,1.66666666666667,0.5,0.866025403784439,9,9,Introduced,total
1,TG,2.11111111111111,2.33333333333333,2.36877840059198,1.5,9,9,Native,total
1,TG,0.666666666666667,0.555555555555556,0.707106781186548,0.52704627669473,9,9,mixed,fern
1,TG,0.555555555555556,0.888888888888889,1.0137937550497,1.05409255338946,9,9,mixed,forb
1,TG,0.111111111111111,1.11111111111111,0.333333333333333,0.600925212577332,9,9,mixed,graminoid
1,TG,0.333333333333333,1.11111111111111,0.707106781186548,0.927960727138337,9,9,mixed,shrub
1,TG,0.555555555555556,0,0.881917103688197,0,9,9,mixed,tree
1,TG,1.11111111111111,0.777777777777778,0.600925212577332,0.440958551844098,9,9,mixed,vine
3,BM,7.11111111111111,7.22222222222222,1.69148192751537,2.99072640748773,9,9,mixed,total
3,BM,1.88888888888889,2.22222222222222,1.16666666666667,1.85592145427667,9,9,Introduced,total
3,BM,5.11111111111111,5,1.16666666666667,1.3228756555323,9,9,Native,total
3,BM,0.333333333333333,0.111111111111111,0.5,0.333333333333333,9,9,mixed,fern
3,BM,2.33333333333333,2.44444444444444,1.3228756555323,1.81046341520004,9,9,mixed,forb
3,BM,0,0.111111111111111,0,0.333333333333333,9,9,mixed,graminoid
3,BM,0.333333333333333,0.666666666666667,0.5,0.866025403784439,9,9,mixed,shrub
3,BM,2.11111111111111,2.55555555555556,0.927960727138337,0.52704627669473,9,9,mixed,tree
3,BM,2,1.33333333333333,0.707106781186548,1.3228756555323,9,9,mixed,vine
3,GL,9.11111111111111,4.88888888888889,1.36422546197874,2.26077666104176,9,9,mixed,total
3,GL,3.11111111111111,2.77777777777778,1.05409255338946,0.666666666666667,9,9,Introduced,total
3,GL,5.66666666666667,1.55555555555556,1.22474487139159,1.13038833052088,9,9,Native,total
3,GL,0,0,0,0,9,9,mixed,fern
3,GL,3,1.44444444444444,1.4142135623731,1.87823794493077,9,9,mixed,forb
3,GL,0.222222222222222,0.111111111111111,0.440958551844098,0.333333333333333,9,9,mixed,graminoid
3,GL,2.33333333333333,1.55555555555556,1,0.52704627669473,9,9,mixed,shrub
3,GL,1.66666666666667,0.333333333333333,1.11803398874989,0.5,9,9,mixed,tree
3,GL,1.88888888888889,1.44444444444444,0.333333333333333,0.881917103688197,9,9,mixed,vine
3,TG,6.44444444444445,6,1.0137937550497,1.93649167310371,9,9,mixed,total
3,TG,1.88888888888889,0.777777777777778,0.600925212577332,0.666666666666667,9,9,Introduced,total
3,TG,4.22222222222222,4.66666666666667,0.833333333333334,1.5,9,9,Native,total
3,TG,0.777777777777778,0.666666666666667,0.666666666666667,0.707106781186548,9,9,mixed,fern
3,TG,0.444444444444444,1.11111111111111,0.726483157256779,0.927960727138337,9,9,mixed,forb
3,TG,1.44444444444444,0.888888888888889,0.52704627669473,0.333333333333333,9,9,mixed,graminoid
3,TG,0.666666666666667,0.888888888888889,0.707106781186548,0.781735959970572,9,9,mixed,shrub
3,TG,1.88888888888889,1.77777777777778,0.600925212577332,0.440958551844098,9,9,mixed,tree
3,TG,1.22222222222222,0.666666666666667,0.440958551844098,0.5,9,9,mixed,vine
