Site,Pool,Access_point,Transect,Plot_number,plot_ID,SimpleSpecies,Relation_to_spring,cover,region,if_kill
Anvil Spring,Anvil Spring,river_left,Central,1,Anvil Spring_Anvil Spring_river_left_Central_1_Proximate,trampled BG,Proximate,1,Southern Panamints,burro kills absent
Anvil Spring,Anvil Spring,river_left,Central,2,Anvil Spring_Anvil Spring_river_left_Central_2_Middle,trampled BG,Middle,1,Southern Panamints,burro kills absent
Anvil Spring,Anvil Spring,river_left,Central,3,Anvil Spring_Anvil Spring_river_left_Central_3_Distal,trampled BG,Distal,1,Southern Panamints,burro kills absent
Anvil Spring,Anvil Spring,river_left,Downstream,1,Anvil Spring_Anvil Spring_river_left_Downstream_1_Distal,trampled BG,Distal,1,Southern Panamints,burro kills absent
Anvil Spring,Anvil Spring,river_left,Downstream,2,Anvil Spring_Anvil Spring_river_left_Downstream_2_Middle,trampled BG,Middle,1,Southern Panamints,burro kills absent
Anvil Spring,Anvil Spring,river_left,Downstream,3,Anvil Spring_Anvil Spring_river_left_Downstream_3_Proximate,Upland shrub,Proximate,1,Southern Panamints,burro kills absent
Anvil Spring,Anvil Spring,river_left,Downstream,3,Anvil Spring_Anvil Spring_river_left_Downstream_3_Proximate,litter,Proximate,1,Southern Panamints,burro kills absent
Anvil Spring,Anvil Spring,river_left,Upstream,1,Anvil Spring_Anvil Spring_river_left_Upstream_1_Proximate,trampled BG,Proximate,1,Southern Panamints,burro kills absent
Anvil Spring,Anvil Spring,river_left,Upstream,2,Anvil Spring_Anvil Spring_river_left_Upstream_2_Middle,trampled BG,Middle,1,Southern Panamints,burro kills absent
Anvil Spring,Anvil Spring,river_left,Upstream,3,Anvil Spring_Anvil Spring_river_left_Upstream_3_Distal,trampled BG,Distal,1,Southern Panamints,burro kills absent
Arrastre Spring,Arrastre Spring,downstream,Central,1,Arrastre Spring_Arrastre Spring_downstream_Central_1_Proximate,trampled BG,Proximate,1,Southern Panamints,burro kills present
Arrastre Spring,Arrastre Spring,downstream,Central,1,Arrastre Spring_Arrastre Spring_downstream_Central_1_Middle,trampled BG,Middle,0.6,Southern Panamints,burro kills present
Arrastre Spring,Arrastre Spring,downstream,Central,1,Arrastre Spring_Arrastre Spring_downstream_Central_1_Middle,Upland shrub,Middle,0.4,Southern Panamints,burro kills present
Arrastre Spring,Arrastre Spring,downstream,Central,2,Arrastre Spring_Arrastre Spring_downstream_Central_2_Distal,trampled BG,Distal,0.2,Southern Panamints,burro kills present
Arrastre Spring,Arrastre Spring,downstream,Central,2,Arrastre Spring_Arrastre Spring_downstream_Central_2_Distal,BG,Distal,0.8,Southern Panamints,burro kills present
Arrastre Spring,Arrastre Spring,downstream,Downstream,1,Arrastre Spring_Arrastre Spring_downstream_Downstream_1_Distal,Upland shrub,Distal,0.2,Southern Panamints,burro kills present
Arrastre Spring,Arrastre Spring,downstream,Downstream,1,Arrastre Spring_Arrastre Spring_downstream_Downstream_1_Distal,trampled BG,Distal,0.8,Southern Panamints,burro kills present
Arrastre Spring,Arrastre Spring,downstream,Downstream,2,Arrastre Spring_Arrastre Spring_downstream_Downstream_2_Middle,trampled BG,Middle,0.05,Southern Panamints,burro kills present
Arrastre Spring,Arrastre Spring,downstream,Downstream,2,Arrastre Spring_Arrastre Spring_downstream_Downstream_2_Middle,BG,Middle,0.95,Southern Panamints,burro kills present
Arrastre Spring,Arrastre Spring,downstream,Downstream,3,Arrastre Spring_Arrastre Spring_downstream_Downstream_3_Distal,trampled BG,Distal,0.75,Southern Panamints,burro kills present
Arrastre Spring,Arrastre Spring,downstream,Downstream,3,Arrastre Spring_Arrastre Spring_downstream_Downstream_3_Distal,Upland shrub,Distal,0.01,Southern Panamints,burro kills present
Arrastre Spring,Arrastre Spring,downstream,Downstream,3,Arrastre Spring_Arrastre Spring_downstream_Downstream_3_Distal,Herb,Distal,0.25,Southern Panamints,burro kills present
Arrastre Spring,Arrastre Spring,downstream,Downstream,3,Arrastre Spring_Arrastre Spring_downstream_Downstream_3_Distal,rock,Distal,0.1,Southern Panamints,burro kills present
Arrastre Spring,Arrastre Spring,downstream,Upstream,1,Arrastre Spring_Arrastre Spring_downstream_Upstream_1_Proximate,Riparian,Proximate,0.95,Southern Panamints,burro kills present
Arrastre Spring,Arrastre Spring,downstream,Upstream,1,Arrastre Spring_Arrastre Spring_downstream_Upstream_1_Proximate,Upland shrub,Proximate,0.05,Southern Panamints,burro kills present
Arrastre Spring,Arrastre Spring,downstream,Upstream,2,Arrastre Spring_Arrastre Spring_downstream_Upstream_2_Middle,Upland shrub,Middle,1,Southern Panamints,burro kills present
Arrastre Spring,Arrastre Spring,downstream,Upstream,3,Arrastre Spring_Arrastre Spring_downstream_Upstream_3_Distal,rock,Distal,0.1,Southern Panamints,burro kills present
Arrastre Spring,Arrastre Spring,downstream,Upstream,3,Arrastre Spring_Arrastre Spring_downstream_Upstream_3_Distal,trampled BG,Distal,0.9,Southern Panamints,burro kills present
Five Mile Spring,Five Mile Spring,river_right,Central,1,Five Mile Spring_Five Mile Spring_river_right_Central_1_Proximate,trampled BG,Proximate,1,Southern Panamints,burro kills present
Five Mile Spring,Five Mile Spring,river_right,Central,2,Five Mile Spring_Five Mile Spring_river_right_Central_2_Middle,trampled BG,Middle,1,Southern Panamints,burro kills present
Five Mile Spring,Five Mile Spring,river_right,Central,3,Five Mile Spring_Five Mile Spring_river_right_Central_3_Distal,rock,Distal,0.1,Southern Panamints,burro kills present
Five Mile Spring,Five Mile Spring,river_right,Central,3,Five Mile Spring_Five Mile Spring_river_right_Central_3_Distal,trampled BG,Distal,0.9,Southern Panamints,burro kills present
