Site,Plot,Pair,Graztrt,ExtPppm,ExtNappm,Nmin,ForbBiom,PctForb,deltaForbs,dPctForb,GrassBiom,PctGrass,deltaGrass,dPctGrass,dPctNFix,LegBiom,LegPctBiom,DeltaLeg,dPctLeg,TotBiom,GrazIntens,GI 2016,dGI,AG PLantN,Rainfall,Rain6mo,SOC2001,SOCtpha2001,SOC2008,SOCtpha2008,dSOC01to08,SOC2017,SOCtpha2017,dSOC08to17,deltaSOC,Hyphal ingrowth,deltaHyph,RootBiom,deltaRootB
BAL,1,1,G,75.4,73.15,3.329039682,60.75571626,20.67052934,16.22238292,12.988003,181.5865104,61.78001877,-345.5134896,-29.15096101,-10.3904024,51.58211008,17.54945189,43.54501504,16.16295801,293.9243367,0.49294578,0.696338196,0.203392416,1.75,710,760.3386172,0.022167122,50.98438066,0.021441492,48.48095708,-2.503423574,0.02022,44.26680967,-4.214147412,4.209637133,3.207210487,-0.563859359,496.8125,9.935453216
BAL,2,1,UG,86.5,70.2,8.824526851,44.53333333,7.682526338,,,527.1,90.93097978,,,,8.037095039,1.386493884,,,579.6704284,,,,,710,760.3386172,0.025576959,58.82700456,0.026052542,60.4677678,1.640763248,0.02661,62.39099772,1.923229919,,3.771069846,,486.8770468,
BAL,3,2,G,91.14,76.5,,26.93549203,10.11754425,-22.13117464,-0.391862095,218.9290995,82.23443067,-171.0542339,-1.294645116,0.313489676,20.361,7.648025078,-7.472333333,1.686507211,266.2255915,0.429781334,0.505445545,0.07566421,1.63,710,760.3386172,0.022985207,52.86597698,0.023103648,53.27459692,0.408619942,0.02341,54.33151151,1.056914592,10.0657919,4.135211211,-1.016014651,395.1511696,24.22938596
BAL,4,3,G,112.1,72.8,7.153774805,20.361,4.906899116,-31.10566667,-5.667547517,379.194146,91.38389176,-40.65585398,5.120651751,4.534038013,15.39122881,3.709209128,0,0.546895766,414.9463748,0.147442689,0.718374885,0.570932196,1.41,710,760.3386172,0.022401706,51.52392344,0.020808581,46.02764111,-5.496282332,0.01974,42.34103828,-3.686602827,-6.015542185,5.888342637,1.336684249,286.658114,-73.80445906
BAL,5,2,UG,113.8,85.8,10.49549495,49.06666667,10.50940635,,,389.9833333,83.52907579,,,,27.83333333,5.961517867,,,466.8833333,,,,,710,760.3386172,0.024374857,56.06217223,0.023286791,52.30834412,-3.753828106,0.02388,54.35491389,2.046569765,,5.151225861,,370.9217836,
BAL,6,3,UG,110.5,87.9,5.725863778,51.46666667,10.57444663,,,419.85,86.26324,,,,15.39122881,3.162313362,,,486.7078955,,,,,710,760.3386172,0.023645015,54.38353489,0.023493282,53.86005597,-0.523478911,0.02462,57.74723256,3.887176583,,4.551658387,,360.4625731,
BRS,1,1,UG,84.4,253.5,-16.434137,26.93549203,6.649546992,,,370.1,91.3663407,,,,8.037095039,1.984112304,,,405.0725871,,,,,498,597.5240691,0.057996076,133.3909739,0.059960957,140.1698149,6.778840981,0.06326,151.551513,11.38169817,,1.577288294,,706.7613304,
BRS,2,1,G,87.1,337,,15.39122881,11.14997458,-11.54426321,4.500427589,114.6099174,83.02765695,-255.4900826,-8.338683758,-8.258236849,0,0,-8.037095039,-1.984112304,138.0382413,0.659225912,0.722037868,0.062811956,2.2,498,597.5240691,0.059005968,135.7137268,0.061359544,143.8335628,8.119836041,0.06356,151.4251366,7.59157383,4.013937945,1.601727758,0.024439464,763.4925439,56.73121345
BRS,3,2,G,92.3,254,5.86079532,8.037095039,6.485663188,-15.94500141,-0.013916463,107.8467538,87.02867362,-229.1132462,-4.293549356,1.753691065,8.037095039,6.485663188,8.037095039,6.485663188,123.9209439,0.664151945,0.632259478,-0.031892466,2.34,498,597.5240691,0.075467397,173.5750121,0.077038955,178.9968871,5.421875047,0.07892,185.486494,6.48960685,3.492353491,0.797400964,-0.751167825,698.3187135,94.25277778
BRS,4,3,G,76.3,274,-12.02286148,20.361,12.92517258,14.82766667,11.5042277,126.5365681,80.32547416,-246.7100986,-15.52324989,-12.41859991,0,0,0,0,157.5298115,0.595467749,0.679841897,0.084374149,2.1,498,597.5240691,0.058241831,133.9562116,0.061257176,144.3591501,10.40293851,0.06076,142.6438942,-1.715255909,1.128260917,1.989898999,-0.673674514,623.755848,42.96808772
