Site,Year,years_since,days_since,mean_biomass_G,mean_biomass_UG,sd_biomass_G,sd_biomass_UG,n_G,n_UG
BAL,2000,1,365,211.463373228079,362.023597317715,24.4276776107052,129.16227747046,12,12
BAL,2001,2,730,637.013333333333,900.32,317.848057620828,58.5110177658875,12,12
BAL,2006,7,2555,325.032101014781,511.087219061968,79.090060057968,60.2162417090608,12,12
BAL,2009,10,3650,391.2,1150.4,22.2243110129426,297.342092546615,12,12
BRS,2000,1,365,160.64001358119,386.550377726848,77.6943865412014,141.673705873256,12,12
BRS,2001,2,730,71.9378660555131,385.578473813768,17.92450754431,141.872471092203,12,12
BRS,2006,7,2555,139.829665561661,387.82134067462,16.8758969254205,18.0992135172103,12,12
BRS,2009,10,3650,244.933333333333,1075.73333333333,93.2440525359839,395.781016893602,12,12
BRS,2016,17,6205,141.2,440.933333333333,27.2198457012526,80.1623560864658,12,12
KCW,2000,1,365,214.858670741024,330.277565571683,97.4415980677956,101.20134778113,12,12
KCW,2001,2,730,416.382055852644,782.659366777014,176.260903488314,321.528226777752,12,12
KCW,2006,7,2555,165.661644146785,564.366666666667,30.5356201907932,68.9393473359816,12,12
KCW,2009,10,3650,381.333333333333,850.133333333333,20.6933161511956,158.642911386968,12,12
KCW,2016,17,6205,343.066666666667,774.3,99.9535058581405,70.1620267666207,12,12
KMS,2000,1,365,210.932857991682,288.600288600289,78.6972817748489,78.8702569393573,12,12
KMS,2001,2,730,987.501061030473,986.01561836856,617.235187649349,252.375861610102,12,12
KMS,2006,7,2555,217.075376378543,643.145714876763,28.3566754030554,60.8973420105538,12,12
KUH,2000,1,365,180.056871233342,321.810542398778,46.7051103668583,80.6692334593021,12,12
KUH,2001,2,730,734.020881079705,828.134284016637,243.635239444503,122.077400414558,12,12
KUH,2006,7,2555,429.093154421236,781.716666666667,29.9186229273777,123.280138302972,12,12
KUH,2009,10,3650,283.466666666667,465.2,60.2691739891409,44.3423048566491,12,12
KUH,2016,17,6205,492.233333333333,990.4,161.542636270841,102.003578368604,12,12
MSB,2000,1,365,321.403955521603,547.686104744928,118.488560111022,363.817723239535,12,12
MSB,2001,2,730,491.040064510653,888.784992784993,114.044005289136,322.644612599484,12,12
MSB,2006,7,2555,361.271808391451,615.000997593298,167.757965800044,106.400706676941,12,12
MSB,2009,10,3650,749.866666666667,1250.13333333333,157.102429431671,355.587476344898,12,12
MSB,2016,17,6205,252.333333333333,559.366666666667,68.5863203075754,106.130312980474,12,12
SOT,2000,1,365,242.499702911468,368.972158560394,78.217874158779,63.4525212069329,12,12
SOT,2001,2,730,258.785332314744,703.993718699601,104.278677281139,161.894649758297,12,12
SOT,2006,7,2555,145.208236339644,313.79475042427,62.5906488465905,129.268658405526,12,12
SOT,2009,10,3650,145.733333333333,269.6,133.437226190195,102.20528362076,12,12
SOT,2016,17,6205,157.1,563.666666666667,45.568519835518,101.124889781563,12,12
TOG,2000,1,365,197.98828622358,393.005687123334,64.8234046978624,117.594156167646,12,12
TOG,2001,2,730,1004.79942279942,1457.32178932179,352.057651875225,468.459230576768,12,12
TOG,2006,7,2555,166.493549727302,544.366766578653,19.3909739526646,53.7243360052425,12,12
TOG,2009,10,3650,222.266666666667,1410.26666666667,90.6706861854113,464.635828723242,12,12
TOG,2016,17,6205,186.266666666667,1058.2,34.3243839468873,180.319826974185,12,12
