Site,year,days_since,years_since,response,mean_G,mean_UG,sd_G,sd_UG,n_G,n_UG
BAL,2001,730,2,Plant N,1.84856424242424,1.72693382393939,0.172006833609693,0.222135300479803,12,12
BAL,2001,730,2,Plant P,0.160335324064511,0.176640661582276,0.0132200669144953,0.0149887637804309,12,12
BAL,2008,3285,9,Soil N,0.188846588333333,0.199,0.0955296208641124,0.0564269439186635,12,12
BAL,2008,3285,9,Soil P,0.0292096916666667,0.036,0.0040970348514708,0.00793725393319377,12,12
BAL,2016,6205,17,Plant N,1.96319568181818,1.94152084171952,0.12098639121419,0.149115008968974,12,12
BAL,2016,6205,17,Plant P,0.320886113860202,0.336620839107145,0.0122516034136838,0.0112074903624286,12,12
BAL,2016,6205,17,Soil N,0.13,0.163333333333333,0.02,0.0251661147842358,12,12
BAL,2016,6205,17,Soil P,0.00997722649686035,0.0107179181038295,0.00114712297316713,0.00170868342288429,12,12
BRS,2001,730,2,Plant N,2.41348273333333,2.36814626666667,0.281448418227734,0.0426322571212616,12,12
BRS,2001,730,2,Plant P,0.401401201861151,0.335309686735528,0.1335247359499,0.0602906544429889,12,12
BRS,2008,3285,9,Soil N,0.339146938666667,0.178333333333333,0.0203794074300209,0.0393996615890712,12,12
BRS,2008,3285,9,Soil P,0.109156831,0.117333333333333,0.0090150389463593,0.00723417813807023,12,12
BRS,2016,6205,17,Plant N,2.58556338333333,2.44786831692308,0.217706868057976,0.128495363485338,12,12
BRS,2016,6205,17,Plant P,0.455930004210226,0.423807803778119,0.0636661386350343,0.0475003425978626,12,12
BRS,2016,6205,17,Soil N,0.316666666666667,0.33,0.0378593889720018,0.02,12,12
BRS,2016,6205,17,Soil P,0.0469565313522597,0.0490017245953834,0.00246146679913022,0.00484315530197342,12,12
KCW,2001,730,2,Plant N,2.09073901666667,1.84774053611111,0.088918781718156,0.14740058340644,12,12
KCW,2001,730,2,Plant P,0.104664963734431,0.108689545275299,0.00219268718746998,0.00785604046063811,12,12
KCW,2008,3285,9,Soil N,0.222226722666667,0.214666666666667,0.041906667997127,0.0476480149988783,12,12
KCW,2008,3285,9,Soil P,0.00603365866666667,0.00566666666666667,0.00135311907139628,0.00208166599946613,12,12
KCW,2016,6205,17,Plant N,2.14219898680556,1.95840316875,0.104921469285726,0.178591570767484,12,12
KCW,2016,6205,17,Plant P,0.160920642350429,0.149806411718667,0.00926366291733603,0.01274566867368,12,12
KCW,2016,6205,17,Soil N,0.15,0.173333333333333,0.01,0.0208166599946613,12,12
KCW,2016,6205,17,Soil P,0.00744560891483152,0.00721345184399045,0.00102972769277395,0.00391519091625729,12,12
