Year,Level,Treatment,Block,Plot_ID,total.cover,total.bare,litter.volume,PAR.diff
2019,Arid,Open,1,AR_1_O,86.72222222,33.38888889,37.50694444,507.5
2019,Arid,Open,2,AR_2_O,88.44444444,14.36111111,54.11111111,308.25
2019,Arid,Open,3,AR_3_O,86.72222222,13.16666667,37.50694444,289.95
2019,Arid,Partial,1,AR_1_P,90.22222222,4.555555556,339.8611111,1216.59
2019,Arid,Partial,2,AR_2_P,92.69444444,3.75,333.1388889,1220.67
2019,Arid,Partial,3,AR_3_P,91.72222222,5.277777778,390.9027778,1375.28
2019,Arid,Total,1,AR_1_T,92.36111111,4.555555556,351.2222222,1157.28
2019,Arid,Total,2,AR_2_T,93.22222222,2.277777778,319.1805556,1464.33
2019,Arid,Total,3,AR_3_T,91.47222222,5.333333333,307.8472222,1195.42
2019,Intermediate,Open,1,IN_1_O,78.43243243,20.13513514,108,520.1
2019,Intermediate,Open,2,IN_2_O,80.13888889,62.14285714,196.5,409
2019,Intermediate,Open,3,IN_3_O,99.30555556,14.41666667,223.3055556,433.58
2019,Intermediate,Partial,1,IN_1_P,89.91428571,14.86111111,184.8142857,997.3
2019,Intermediate,Partial,2,IN_2_P,82.88888889,13.41666667,347.8194444,820.65
2019,Intermediate,Partial,3,IN_3_P,108.1111111,7.25,404.3055556,1184.92
2019,Intermediate,Total,1,IN_1_T,93.25,18.05555556,436.1111111,1115.95
2019,Intermediate,Total,2,IN_2_T,89.11111111,7.75,423.5555556,1214.3
2019,Intermediate,Total,3,IN_3_T,103.6944444,8.111111111,406.7916667,1436.3
2019,Mesic,Open,1,ME_1_O,72.66666667,27.77777778,207.6666667,207.44
2019,Mesic,Open,2,ME_2_O,63.88888889,25.88571429,149.7638889,275.7
2019,Mesic,Open,3,ME_3_O,77.52777778,12.05405405,162.6805556,511
2019,Mesic,Partial,1,ME_1_P,85.11428571,36.38888889,314.3,930.47
2019,Mesic,Partial,2,ME_2_P,90.91666667,16.94444444,398.3472222,1115.27
2019,Mesic,Partial,3,ME_3_P,86.72222222,5.75,367.1527778,750.77
2019,Mesic,Total,1,ME_1_T,92.40540541,20.16666667,456.9324324,968.21
2019,Mesic,Total,2,ME_2_T,89.75,17.72222222,496.25,847.73
2019,Mesic,Total,3,ME_3_T,91.61111111,13.63888889,369.2638889,1090.2
