site,month,response,mean_control,mean_experimental,sd_control,sd_experimental,n_control,n_experimental,time_series_clean,days_since
Dune Marsh,13 months,Aboveground Decomposition Rate (% dry mass lost),28.8295709753398,27.8994212806028,8.1989491005299,11.1759668605948,12,12,1,390
Dune Marsh,18 months,Aboveground Decomposition Rate (% dry mass lost),28.8295709753398,27.8994212806028,8.1989491005299,11.1759668605948,12,12,2,540
Raccoon Keys,13 months,Aboveground Decomposition Rate (% dry mass lost),23.7186429049526,23.8262042412593,8.18739146331435,6.45927575470816,12,12,1,390
Raccoon Keys,18 months,Aboveground Decomposition Rate (% dry mass lost),23.7186429049526,23.8262042412593,8.18739146331435,6.45927575470816,12,12,2,540
Dune Marsh,13 months,Adult fiddler crab abundance,0.333333333333333,1.16666666666667,0.65133894727893,1.33711584684304,12,12,1,390
Dune Marsh,18 months,Adult fiddler crab abundance,1.08333333333333,0.833333333333333,0.90033663737852,0.834847109936722,12,12,2,540
Dune Marsh,51 months,Adult fiddler crab abundance,1.58333333333333,1.33333333333333,1.88092498199125,1.43548112513055,12,12,3,1530
Raccoon Keys,13 months,Adult fiddler crab abundance,0.333333333333333,1.66666666666667,0.65133894727893,1.77525072919719,12,12,1,390
Raccoon Keys,18 months,Adult fiddler crab abundance,0,0.166666666666667,0,0.389249472080761,12,12,2,540
Raccoon Keys,51 months,Adult fiddler crab abundance,0.666666666666667,1.33333333333333,0.866025403784439,0.707106781186548,9,9,3,1530
Dune Marsh,13 months,Adult periwinkle abundance,10,19.4166666666667,12.8840987267251,14.1000214914945,12,12,1,390
Dune Marsh,18 months,Adult periwinkle abundance,7.58333333333333,9.58333333333333,8.33893750953194,11.3574831825728,12,12,2,540
Dune Marsh,51 months,Adult periwinkle abundance,5.58333333333333,14.25,6.31676461105803,11.5768185298348,12,12,3,1530
Raccoon Keys,13 months,Adult periwinkle abundance,9.75,6.33333333333333,16.0687443645901,7.2278921022954,12,12,1,390
Raccoon Keys,18 months,Adult periwinkle abundance,7.33333333333333,4.75,6.98483205151554,3.8405728739343,12,12,2,540
Raccoon Keys,51 months,Adult periwinkle abundance,0.777777777777778,1.44444444444444,0.97182531580755,0.881917103688197,9,9,3,1530
Dune Marsh,13 months,Belowground Decomposition Rate (% dry mass lost),57.8404657400634,53.8605929448102,11.2673096820484,5.03854673872152,10,12,1,390
Dune Marsh,18 months,Belowground Decomposition Rate (% dry mass lost),57.8404657400634,53.8605929448102,11.2673096820484,5.03854673872152,10,12,2,540
