filename,variable,group_id,mean,sd,n,FIX SD,se,error_type,plot_type
fig_s1_all_species.png,richness_allspecies,x1,41.09756098,4.87804878,8,3.449301372,1.219512195,se,mean_error
fig_s1_all_species.png,richness_allspecies,x2,40.12195122,4.87804878,8,3.449301372,1.219512195,se,mean_error
fig_s1_all_species.png,richness_allspecies,x3,40.48780488,15.12195122,8,10.69283425,3.780487805,se,mean_error
fig_s1_all_species.png,richness_allspecies,x5,34.02439024,4.87804878,8,3.449301372,1.219512195,se,mean_error
fig_s1_all_species.png,richness_allspecies,x9,32.07317073,28.29268293,8,20.00594796,7.073170732,se,mean_error
fig_s1_all_species.png,richness_allspecies,c1,40.36585366,5.863812332,16,8.292682927,2.073170732,se,mean_error
fig_s1_all_species.png,richness_allspecies,c2,44.63414634,4.139161646,16,5.853658537,1.463414634,se,mean_error
fig_s1_all_species.png,richness_allspecies,c3,43.17073171,8.278323292,16,11.70731707,2.926829268,se,mean_error
fig_s1_all_species.png,richness_allspecies,c5,39.87804878,5.863812332,16,8.292682927,2.073170732,se,mean_error
fig_s1_all_species.png,richness_allspecies,c9,32.68292683,11.03776439,16,15.6097561,3.902439024,se,mean_error
fig_s1_ferns.png,fern richness,x1,2.976076555,0.378928036,8,0.378928036,0.133971292,se,mean_error
fig_s1_ferns.png,fern richness,x2,2.995215311,0.324795459,8,0.324795459,0.114832536,se,mean_error
fig_s1_ferns.png,fern richness,x3,2.4784689,1.56984472,8,1.56984472,0.555023923,se,mean_error
fig_s1_ferns.png,fern richness,x5,2,2.923159134,8,2.923159134,1.033492823,se,mean_error
fig_s1_ferns.png,fern richness,x9,1.961722488,2.923159134,8,2.923159134,1.033492823,se,mean_error
fig_s1_ferns.png,fern richness,c1,1.770334928,2.449760766,16,2.449760766,0.612440191,se,mean_error
fig_s1_ferns.png,fern richness,c2,2.019138756,2.832535885,16,2.832535885,0.708133971,se,mean_error
fig_s1_ferns.png,fern richness,c3,1.71291866,2.679425837,16,2.679425837,0.669856459,se,mean_error
fig_s1_ferns.png,fern richness,c5,1.234449761,1.990430622,16,1.990430622,0.497607656,se,mean_error
fig_s1_ferns.png,fern richness,c9,1.004784689,1.837320574,16,1.837320574,0.459330144,se,mean_error
fig_s1_forbs.png,forb richness,x1,15.96698113,3.201992971,8,3.201992971,1.132075472,se,mean_error
fig_s1_forbs.png,forb richness,x2,15.96698113,1.400871925,8,1.400871925,0.495283019,se,mean_error
fig_s1_forbs.png,forb richness,x3,16.03773585,3.001868411,8,3.001868411,1.061320755,se,mean_error
