fid,Plot_ID,Type,Exclosure_,Species_Co,Notes.x,Survey_Dat,Latitude,Longitude,Lab_ID,N,C,P,K,Na,Ca,Mg,Al,ECEC,Notes.y,n_obs,log_obs,n_fec,log_fec,X,Y,Excl_Treatment,N_g_per_g,N_P,N_Ca,P_Ca
1,AC1,Exclosure,A,Deschampsia_flexuosa,,2023/04/26 09:39:42.000,56.2506816666667,8.93617333333333,1,28.1,46.01,1.838574056,18.92185121,0.222674227,1.084655687,1.154840443,,,"",73,4.30406509320417,15,2.77258872223978,496045.075904385,6233982.17956343,"A 
Exclosure",0.0281,15.2835834424501,25.9068387662453,1.6950762145407
2,AC2,Exclosure,A,Deschampsia_flexuosa,,2023/04/26 10:02:17.000,56.250935,8.936365,2,25.7,45.68,1.89525596,17.25066012,0.311265158,1.136625335,1.401581972,,,"",57,4.06044301054642,16,2.83321334405622,496056.978279986,6234010.36503913,"A 
Exclosure",0.0257,13.5601736875688,22.6107928519823,1.66744124175272
3,AC3,Exclosure,A,Deschampsia_flexuosa,,2023/04/26 10:13:07.000,56.2510916666667,8.93631666666667,3,31.3,44.43,2.870886808,20.30579749,0.478107975,1.296130055,1.75658628,,,"",50,3.93182563272433,16,2.83321334405622,496053.99951253,6234027.80509072,"A 
Exclosure",0.0313,10.9025545391687,24.1488112086098,2.21496816382365
4,AT1,Grazed,A,Deschampsia_flexuosa,,2023/04/26 10:26:26.000,56.250795,8.93605333333333,4,29.9,46.01,2.313200897,19.9283501,0.435793849,1.035328328,1.260526839,,,"",67,4.21950770517611,18,2.94443897916644,496037.651990663,6233994.80066264,"A 
Grazed",0.0299,12.9258120376736,28.8797275138404,2.23426794615824
5,AT2,Grazed,A,Deschampsia_flexuosa,,2023/04/26 10:37:20.000,56.2510066666667,8.93625833333333,5,30.1,44.06,2.57327799,21.8083157,0.306553741,1.40769336,1.537108485,,,"",54,4.00733318523247,16,2.83321334405622,496050.376262505,6234018.34777809,"A 
Grazed",0.0301,11.6971427560378,21.3824976769088,1.82801032037261
6,AT3,Grazed,A,Deschampsia_flexuosa,,2023/04/26 10:55:03.000,56.2512083333333,8.93627666666667,6,21.5,45.53,1.725245124,15.74802969,0.342723711,1.197435003,1.251136075,,,"",49,3.91202300542815,16,2.83321334405622,496051.533007319,6234040.79259443,"A 
Grazed",0.0215,12.4619972552955,17.9550455316029,1.44078394207422
7,BC1,Exclosure,B,Deschampsia_flexuosa,,2023/04/26 11:39:57.000,56.2411133333333,8.95090666666667,7,21.2,46.1,2.75874491,18.620734,0.157522888,1.743875592,0.992627409,,,"",294,5.68697535633982,15,2.77258872223978,496957.246117694,6232916.45944477,"B 
Exclosure",0.0212,7.68465396099272,12.1568305085837,1.58196199468339
9,BC2,Exclosure,B,Deschampsia_flexuosa,,2023/04/26 11:46:47.000,56.2412266666667,8.95064666666667,8,26.9,45.84,2.856606474,22.13059533,0.090736814,1.0803791,1.050266489,,,"",330,5.80211837537706,18,2.94443897916644,496941.14062235,6232929.08514161,"B 
Exclosure",0.0269,9.41676784843693,24.8986675140235,2.64407787414621
10,BC3,Exclosure,B,Deschampsia_flexuosa,,2023/04/26 11:49:32.000,56.2410516666667,8.95064666666667,9,25.7,45.46,2.559716566,23.08439455,0.139999776,1.269019814,1.157493456,,,"",349,5.85793315448346,18,2.94443897916644,496941.126673605,6232909.60735288,"B 
Exclosure",0.0257,10.0401741119958,20.2518508509277,2.01708163872688
11,BT1,Grazed,B,Deschampsia_flexuosa,,2023/04/26 11:57:51.000,56.2411216666667,8.95113,10,23.6,45.71,2.379484312,18.92728541,0.205859417,1.083026834,0.987720981,,,"",248,5.51745289646471,15,2.77258872223978,496971.088742498,6232917.37712044,"B 
Grazed",0.0236,9.91811540045993,21.7907804858693,2.19706865730346
13,BT2,Grazed,B,Deschampsia_flexuosa,,2023/04/26 12:19:34.000,56.241325,8.950635,11,24.1,45.88,3.315865313,23.48094564,0.188950496,1.438473891,1.199897979,,,"",326,5.78996017089725,20,3.04452243772342,496940.425376385,6232940.03032198,"B 
Grazed",0.0241,7.26808773128235,16.7538668242676,2.30512721415811
12,BT3,Grazed,B,Deschampsia_flexuosa,,2023/04/26 12:09:42.000,56.2408983333333,8.95056,12,28.1,45.9,2.061476055,20.75353304,0.100490672,0.901818649,0.91730312,,,"",385,5.95583736946483,18,2.94443897916644,496935.742912177,6232892.54495048,"B 
Grazed",0.0281,13.6310096505099,31.1592580516707,2.28590976388203
