site,set,plot,treatment,date,vegetation,deadgperc,litterperc,deadforbperc,akang,arabb,agoat,tpmonth,rooafperkm,goataf,rabbitaf,roospotperkm,rabbitspot,averain,rain12
boolcoomatta,bdomerock,domerockNO,control,2019-nov,alectryon bluebush,0.699300699,34.44055944,0.174825175,32.66666667,0.333333333,0,3.727272727,0.378151261,0,0.042016807,0.366972477,0.091743119,223,101.3
boolcoomatta,bdomerock,domerockKO,exclosure,2019-nov,alectryon bluebush,3.125,34.22619048,0.297619048,26.8,7.5,0,2.272727273,0.378151261,0,0.042016807,0.366972477,0.091743119,223,101.3
boolcoomatta,bnortheast,northeastNO,control,2019-nov,acacia bluebush sandhill,0,7.984790875,0,14,1.333333333,2,1.090909091,0.378151261,0,0.042016807,0.366972477,0.091743119,223,101.3
boolcoomatta,bnortheast,northeastKO,exclosure,2019-nov,acacia bluebush sandhill,0,10,0,13,0.666666667,0.333333333,1.551948052,0.378151261,0,0.042016807,0.366972477,0.091743119,223,101.3
boolcoomatta,bquarters,quartersNO,control,2019-nov,mulga bluebuesh,0.160771704,22.66881029,2.572347267,36.06666667,8.166666667,0,0.273809524,0.378151261,0,0.042016807,0.366972477,0.091743119,223,101.3
boolcoomatta,bquarters,quartersKO,exclosure,2019-nov,mulga bluebuesh,10.33868093,6.773618538,6.773618538,14.66666667,1,0,0.18452381,0.378151261,0,0.042016807,0.366972477,0.091743119,223,101.3
boolcoomatta,bsouthwest,southwestKO,control,2019-nov,mulga bluebuesh,0.309597523,10.83591331,0,9.733333333,3,1,0.297619048,0.378151261,0,0.042016807,0.366972477,0.091743119,223,101.3
boolcoomatta,bsouthwest,southwestKO,exclosure,2019-nov,mulga bluebuesh,0,9.693053312,0,4.666666667,1.333333333,0.333333333,0.744047619,0.378151261,0,0.042016807,0.366972477,0.091743119,223,101.3
mungo,cGarnpangBluebush1,GarnpangBluebush1NO,control,2019-nov,maireana pyramidata shrubland,0,48.8,0,23,7,0,0.398809524,1.285714286,0.285714286,0.114285714,NA,NA,280,128.4
mungo,cGarnpangBluebush1,GarnpangBluebush1KO,exclosure,2019-nov,maireana pyramidata shrubland,0,41.13924051,0,32.76666667,23.73333333,0,1.25,1.285714286,0.285714286,0.114285714,NA,NA,280,128.4
mungo,cGarnpangBluebush2,GarnpangBluebush2NO,control,2019-nov,maireana pyramidata shrubland,0,15.25,0,28.6,23.7,0,1.831168831,1.285714286,0.285714286,0.114285714,NA,NA,280,128.4
mungo,cGarnpangBluebush2,GarnpangBluebush2KO,exclosure,2019-nov,maireana pyramidata shrubland,0,23.19474836,0,14,1.333333333,0.333333333,2.5,1.285714286,0.285714286,0.114285714,NA,NA,280,128.4
