response_key,Response_Highest_Level,Response_Cat,Response_Sphere,Species_Class,Species_Nativeness,Strata_or_soil_depth,woody_height_class,age_class,Species_Level,Species,Response,Units,Response_Dimension,Response_Living,analysis_group_category,eco_response_coarse,eco_response_fine,eco_response_fine2,eco_response_fine3,eco_response_fine4
response combo 1,ABUNDANCE,Abundance_Density_Freq_Counts,vegetation,Vascular Plants Other Than Woody,Inferred_Native,0.15 - 1.4 m,under_2m,,Higher_level,vascular plants other than trees and shrubs,Abundance,count,Aboveground,Living,Plants,Plant_Abundance,Woody_Abundance,,Understorey_Woody_Abundance,Native_Plant_Abundance
response combo 2,ABUNDANCE,Abundance_Density_Freq_Counts,vegetation,Trees,Inferred_Native,,,dbh 2-6.9cm,Higher_level,total,Abundance,count,Aboveground,Living,Plants,Plant_Abundance,Woody_Abundance,,,Native_Plant_Abundance
response combo 3,ABUNDANCE,Abundance_Density_Freq_Counts,vegetation,Trees,Inferred_Native,,,dbh >7cm,Higher_level,total,Abundance,count,Aboveground,Living,Plants,Plant_Abundance,Woody_Abundance,,,Native_Plant_Abundance
response combo 4,ABUNDANCE,Abundance_Density_Freq_Counts,vegetation,Trees,Inferred_Native,,,all,Higher_level,total,Abundance,count,Aboveground,Living,Plants,Plant_Abundance,Woody_Abundance,,,Native_Plant_Abundance
response combo 5,ABUNDANCE,Abundance_Density_Freq_Counts,vegetation,Trees,Inferred_Native,,young,saplings,Higher_level,total,Abundance,count,Aboveground,Living,Plants,Plant_Abundance,Woody_Abundance,,Understorey_Woody_Abundance,Native_Plant_Abundance
response combo 6,ABUNDANCE,Abundance_Density_Freq_Counts,vegetation,Tree And Shrub,Inferred_Native,0-0.15 m,under_2m,seedlings,Higher_level,total,Abundance,count,Aboveground,Living,Plants,Plant_Abundance,Woody_Abundance,,Understorey_Woody_Abundance,Native_Plant_Abundance
response combo 7,ABUNDANCE,Abundance_Density_Freq_Counts,vegetation,Vascular Plants Other Than Woody,Inferred_Native,0-0.15 m,under_2m,,Higher_level,vascular plants other than trees and shrubs,Abundance,count,Aboveground,Living,Plants,Plant_Abundance,Woody_Abundance,,Understorey_Woody_Abundance,Native_Plant_Abundance
response combo 8,ABUNDANCE,Abundance_Density_Freq_Counts,vegetation,Tree And Shrub,Inferred_Native,0.15 - 1.4 m,under_2m,seedlings,Higher_level,total,Abundance,count,Aboveground,Living,Plants,Plant_Abundance,Woody_Abundance,,Understorey_Woody_Abundance,Native_Plant_Abundance
response combo 9,BIOMASS,Biomass_Proxy,vegetation,Total,Unspecified,,,,Higher_level,total,Volume,cm3,Aboveground,Living,Plants,Plant_Abundance,,,,Native_Plant_Abundance
response combo 10,DIVERSITY,Diversity_Metrics,vegetation,Grasses,Unspecified,10 cm,,,Higher,Grasses,Relative number of species (%),%,Aboveground,Living,Plants,Plant_Diversity,,,,Native_Plant_Diversity
