,Ecosystem,Primary Productivity,,,,,,,
,Herbivore nativeness,~1 | Citation / Observation ID,,,,,,,
,,"Native=275(30), Introduced=60(7)",,,,,,,
,,"LRT=1.746, p=0.19, I2=87.771, prop. variance reduced=0.028",,,,,,,
,,Contrast±95%CIs,df,t-value,p.value,,,,
,,"0.34±[0.85,-0.16]","35,35",-1.39,0.174,,,,
,,,,,,,,,
,Invasive,~1 | Citation / Observation ID,,,,,,,
,,"Native=275(30), Invasive=53(4)",,,,,,,
,,"LRT=1.761, p=0.18, I2=87.898, prop. variance reduced=0.024",,,,,,,
,,Contrast±95%CIs,df,t-value,p.value,,,,
,,"0.38±[0.95,-0.18]","32,32",-1.38,0.177,,,,
,,,,,,,,,
,Africa Comparison,~1 | Citation / Observation ID,,,,,,,
,,"Intact Africa=48(6), Introduced=60(7)",,,,,,,
,,"LRT=4.9879, p=0.03, I2=65.876, prop. variance reduced=0.323",,,,,,,
,,Contrast±95%CIs,df,t-value,p.value,,,,
,,"0.9±[0.38,1.42]","11,11",3.84,0.003,,,,
,,,,,,,,,
,,Dead Vegetation,,,,,,,
,Herbivore nativeness,~1 | Citation / Species ID / Observation ID,,,,,,,
,,"Native=95(22), Introduced=39(15)",,,,,,,
,,"LRT=1.4082, p=0.24, I2=81.297, prop. variance reduced=0.033",,,,,,,
,,Contrast±95%CIs,df,t-value,p.value,,,,
,,"-0.3±[0.21,-0.82]","35,35",1.2,0.24,,,,
,,,,,,,,,
,Invasive,~1 | Citation / Species ID / Observation ID,,,,,,,
,,"Native=95(22), Invasive=11(7)",,,,,,,
,,"LRT=0.7886, p=0.37, I2=79.972, prop. variance reduced=0.028",,,,,,,
,,Contrast±95%CIs,df,t-value,p.value,,,,
,,"-0.29±[0.37,-0.95]","27,27",0.89,0.379,,,,
,,,,,,,,,
,,Litter Cover,,,,,,,
,Herbivore nativeness,~1 | Citation / Species ID / Observation ID,,,,,,,
,,"Native=52(19), Introduced=38(14)",,,,,,,
,,"LRT=0.9998, p=0.32, I2=84.709, prop. variance reduced=0.031",,,,,,,
,,Contrast±95%CIs,df,t-value,p.value,,,,
