model_id_nativeness,model_comparison_id,analysis_group,nativeness_var,site_id,species_response,time_series,analysis_group_category,exclusion,random_effect,min_refs,n_levels,min_obs,max_obs,max_refs,formula_nativeness,formula_null,model_path_nativeness,model_path_null,i2_nativeness,i2_null,BIC_nativeness,BIC_null,min_sigma_nativeness,min_sigma_null,sum_sigma_nativeness,sum_sigma_null,model_id_null,overfit,min_BIC,delta_BIC,preferred_model,LRT,LRT_pval,I2_star,R2_cond,prop_variance_reduced
"model_1000","Soil_pH_Herbivore_nativeness","Soil_pH","Herbivore_nativeness","yes","yes","yes","Soil","!is.na(Herbivore_nativeness) & analysis_group == 'Soil_pH'","list(~1 | Citation / species_response_tag / data_point_ID, ~1 | site_id, ~time_series_clean | experiment_id)",6,2,14,48,14," ~ Herbivore_nativeness"," ~ 1","outputs/revision/models/model_1000.Rds","outputs/revision/models/model_480.Rds",85.5396749832078,85.8891950042236,231.920581355635,228.016393197375,1.07707651003629e-14,9.78031349810277e-14,1.03820770121717,1.05214021930039,"model_480","no",216.89790652919,15.0226748264451,"no",0.222946226785325,0.636804152852001,0.230241653662659,0.831327264817449,0.013242073468583
"model_1001","Vertebrate_Abundance_Africa_Comparison","Vertebrate_Abundance","Africa_Comparison","no","no","no","Vertebrates","!is.na(Africa_Comparison) & analysis_group == 'Vertebrate_Abundance'","list(~1 | Citation / data_point_ID)",7,2,37,121,9," ~ Africa_Comparison"," ~ 1","outputs/revision/models/model_1001.Rds","outputs/revision/models/model_481.Rds",75.1971766433707,76.231660580747,429.081744937541,424.978390902097,0.148281615022494,0.166386719940379,0.404418667790551,0.419826045335695,"model_481","no",425.822900535962,3.25884440157898,"no",0.95924099758281,0.327378182005518,1.09700340637258,3.12151376833537,0.0366994323394679
"model_1002","Vertebrate_Abundance_Africa_Comparison","Vertebrate_Abundance","Africa_Comparison","no","no","yes","Vertebrates","!is.na(Africa_Comparison) & analysis_group == 'Vertebrate_Abundance'","list(~1 | Citation / data_point_ID, ~time_series_clean | experiment_id)",7,2,37,121,9," ~ Africa_Comparison"," ~ 1","outputs/revision/models/model_1002.Rds","outputs/revision/models/model_482.Rds",48.150064516993,48.6113090990411,431.32579321025,427.181051677787,0.0520953156702987,0.0530216786852181,0.12387379210274,0.123823364616871,"model_482","no",425.822900535962,5.50289267428758,"no",0.917853500563638,0.338039204806863,0.849199271514396,2.34316193280494,-0.000407253397007353
"model_1003","Vertebrate_Abundance_Africa_Comparison","Vertebrate_Abundance","Africa_Comparison","no","yes","no","Vertebrates","!is.na(Africa_Comparison) & analysis_group == 'Vertebrate_Abundance'","list(~1 | Citation / species_response_tag / data_point_ID)",7,2,37,121,9," ~ Africa_Comparison"," ~ 1","outputs/revision/models/model_1003.Rds","outputs/revision/models/model_483.Rds",77.6599239079366,78.00332976525,425.822900535962,420.785305088674,1.65072532403318e-09,1.89352713890008e-09,0.463706402465872,0.464182791958929,"model_483","no",425.822900535962,0,"yes",0.0249995857382146,0.874368093420511,0.0244212004560668,0.0625192043838228,0.00102629718574182
"model_1004","Vertebrate_Abundance_Africa_Comparison","Vertebrate_Abundance","Africa_Comparison","no","yes","yes","Vertebrates","!is.na(Africa_Comparison) & analysis_group == 'Vertebrate_Abundance'","list(~1 | Citation / species_response_tag / data_point_ID, ~time_series_clean | experiment_id)",7,2,37,121,9," ~ Africa_Comparison"," ~ 1","outputs/revision/models/model_1004.Rds","outputs/revision/models/model_484.Rds",71.6393494508314,72.2612876336977,431.996049149881,426.995869593168,2.26125941720791e-09,2.05508421272622e-09,0.336950592513582,0.340998318383104,"model_484","no",425.822900535962,6.17314861391833,"no",0.0624154763144134,0.80271812608441,0.0630136339361022,0.15954959886336,0.0118702223773881
"model_1005","Vertebrate_Abundance_Africa_Comparison","Vertebrate_Abundance","Africa_Comparison","yes","no","no","Vertebrates","!is.na(Africa_Comparison) & analysis_group == 'Vertebrate_Abundance'","list(~1 | Citation / data_point_ID, ~1 | site_id)",7,2,37,121,9," ~ Africa_Comparison"," ~ 1","outputs/revision/models/model_1005.Rds","outputs/revision/models/model_485.Rds",75.1971768846089,76.2316606275338,434.144340024317,430.040985980782,1.28286562615081e-09,2.51604675735704e-09,0.40441867302143,0.419826046419768,"model_485","no",425.822900535962,8.32143948835471,"no",0.959240989492173,0.327378184045529,1.09700337907023,3.12151365395748,0.0366994223672648
"model_1006","Vertebrate_Abundance_Africa_Comparison","Vertebrate_Abundance","Africa_Comparison","yes","no","yes","Vertebrates","!is.na(Africa_Comparison) & analysis_group == 'Vertebrate_Abundance'","list(~1 | Citation / data_point_ID, ~1 | site_id, ~time_series_clean | experiment_id)",7,2,37,121,9," ~ Africa_Comparison"," ~ 1","outputs/revision/models/model_1006.Rds","outputs/revision/models/model_486.Rds",48.1512765713983,48.6121421020772,436.388388292011,432.243646741573,9.0220870881734e-10,1.08285238295483e-09,0.123879806146801,0.123827493678393,"model_486","no",425.822900535962,10.5654877560491,"no",0.917853482588612,0.338039209537107,0.849217951466981,2.3432148679637,-0.000422462466567917
"model_1007","Vertebrate_Abundance_Africa_Comparison","Vertebrate_Abundance","Africa_Comparison","yes","yes","no","Vertebrates","!is.na(Africa_Comparison) & analysis_group == 'Vertebrate_Abundance'","list(~1 | Citation / species_response_tag / data_point_ID, ~1 | site_id)",7,2,37,121,9," ~ Africa_Comparison"," ~ 1","outputs/revision/models/model_1007.Rds","outputs/revision/models/model_487.Rds",77.6599239624868,78.0033297646187,430.885495594353,425.847900120587,2.80987622591601e-11,3.20059027812246e-11,0.463706403923872,0.46418279194185,"model_487","no",425.822900535962,5.06259505839023,"no",0.0249995592618575,0.874368159394602,0.0244212033933228,0.0625192117021571,0.00102629400798057
"model_1008","Vertebrate_Abundance_Africa_Comparison","Vertebrate_Abundance","Africa_Comparison","yes","yes","yes","Vertebrates","!is.na(Africa_Comparison) & analysis_group == 'Vertebrate_Abundance'","list(~1 | Citation / species_response_tag / data_point_ID, ~1 | site_id, ~time_series_clean | experiment_id)",7,2,37,121,9," ~ Africa_Comparison"," ~ 1","outputs/revision/models/model_1008.Rds","outputs/revision/models/model_488.Rds",71.6393299585624,72.261303541694,437.058644178637,432.058464633867,2.31092982621394e-11,7.77778866861179e-11,0.336950269247231,0.340998589013129,"model_488","no",425.822900535962,11.2357436426748,"no",0.0624154882564199,0.802718107600755,0.0630136325366354,0.159549631955472,0.011871954595513
"model_1009","Vertebrate_Abundance_Herbivore_nativeness","Vertebrate_Abundance","Herbivore_nativeness","no","no","no","Vertebrates","!is.na(Herbivore_nativeness) & analysis_group == 'Vertebrate_Abundance'","list(~1 | Citation / data_point_ID)",7,2,37,251,27," ~ Herbivore_nativeness"," ~ 1","outputs/revision/models/model_1009.Rds","outputs/revision/models/model_489.Rds",81.0008496526982,81.1124494100476,691.952665151984,686.482743449368,0.141384628277547,0.142817407700403,0.30385880447177,0.305831536681395,"model_489","no",667.111737620427,24.8409275315577,"no",0.193038777520087,0.660399412518955,0.0975219189803567,0.321889298601724,0.00645038844270708
"model_1010","Vertebrate_Abundance_Herbivore_nativeness","Vertebrate_Abundance","Herbivore_nativeness","no","no","yes","Vertebrates","!is.na(Herbivore_nativeness) & analysis_group == 'Vertebrate_Abundance'","list(~1 | Citation / data_point_ID, ~time_series_clean | experiment_id)",7,2,37,251,27," ~ Herbivore_nativeness"," ~ 1","outputs/revision/models/model_1010.Rds","outputs/revision/models/model_490.Rds",54.7030985684631,56.8335175349295,688.407929219473,683.145447467213,1.09761017573583e-09,1.16688963193469e-09,0.0860715971862165,0.0937623031987411,"model_490","no",667.111737620427,21.2961915990468,"no",0.400478727875907,0.526842125405585,0.168510350418767,0.598494412679979,0.082023433193863
"model_1011","Vertebrate_Abundance_Herbivore_nativeness","Vertebrate_Abundance","Herbivore_nativeness","no","yes","no","Vertebrates","!is.na(Herbivore_nativeness) & analysis_group == 'Vertebrate_Abundance'","list(~1 | Citation / species_response_tag / data_point_ID)",7,2,37,251,27," ~ Herbivore_nativeness"," ~ 1","outputs/revision/models/model_1011.Rds","outputs/revision/models/model_491.Rds",82.8051831802532,83.2576719135965,667.111737620427,662.976798720139,0.00485643714972242,0.0146929525499944,0.34322301229079,0.354143117285473,"model_491","no",667.111737620427,0,"yes",1.52802157984809,0.216409613332945,0.623946682851818,1.79628533557039,0.0308352879434354
"model_1012","Vertebrate_Abundance_Herbivore_nativeness","Vertebrate_Abundance","Herbivore_nativeness","no","yes","yes","Vertebrates","!is.na(Herbivore_nativeness) & analysis_group == 'Vertebrate_Abundance'","list(~1 | Citation / species_response_tag / data_point_ID, ~time_series_clean | experiment_id)",7,2,37,251,27," ~ Herbivore_nativeness"," ~ 1","outputs/revision/models/model_1012.Rds","outputs/revision/models/model_492.Rds",80.6324493125825,81.1497294122874,673.835174784283,669.65680442363,8.60790324658675e-10,6.99593308876513e-10,0.296723252533886,0.306577217705917,"model_492","no",667.111737620427,6.72343716385615,"no",1.48459011948285,0.223057734184644,0.601828030470421,1.72845507634305,0.0321418703117205
