term,type,estimate,std.error,statistic,p.value,ci.lb,ci.ub,intercept_df,contrast_df,model_id_nativeness,model_path_nativeness,preferred_model,nativeness_var,contrast,analysis_group,analysis_group_category,min_refs,max_refs
"Africa_ComparisonIntroduced","summary",0.527772612350017,0.619264711993553,0.85225688163467,0.403686841093948,-0.760058856263076,1.81560408096311,21,21,"model_521","outputs/revision/models/model_521.Rds","yes","Africa_Comparison","Introduced-Intact_Africa","Bare_Ground","Soil",3,20
"Africa_ComparisonIntroduced","summary",0.528646141924776,0.620916537704216,0.851396459626279,0.404153719844139,-0.762620486305288,1.81991277015484,21,21,"model_522","outputs/revision/models/model_522.Rds","no","Africa_Comparison","Introduced-Intact_Africa","Bare_Ground","Soil",3,20
"Africa_ComparisonIntroduced","summary",0.527772617419443,0.619264700948044,0.852256905022143,0.40368682840824,-0.760058828223256,1.81560406306214,21,21,"model_523","outputs/revision/models/model_523.Rds","no","Africa_Comparison","Introduced-Intact_Africa","Bare_Ground","Soil",3,20
"Africa_ComparisonIntroduced","summary",0.479954689663126,0.695128618861388,0.69045450962627,0.502050358504368,-1.02177939073529,1.98168877006154,13,13,"model_525","outputs/revision/models/model_525.Rds","no","Africa_Comparison","Introduced-Intact_Africa","Bare_Ground","Soil",3,20
"Africa_ComparisonIntroduced","summary",0.479579850495841,0.698002028652145,0.687075152807104,0.504108467995267,-1.0283618543517,1.98752155534338,13,13,"model_526","outputs/revision/models/model_526.Rds","no","Africa_Comparison","Introduced-Intact_Africa","Bare_Ground","Soil",3,20
"Africa_ComparisonIntroduced","summary",0.479954772830306,0.695128455582641,0.690454791450047,0.50205018707455,-1.02177895482582,1.98168850048643,13,13,"model_527","outputs/revision/models/model_527.Rds","no","Africa_Comparison","Introduced-Intact_Africa","Bare_Ground","Soil",3,20
"Africa_ComparisonIntroduced","summary",0.479579493969032,0.69800275637996,0.687073925690876,0.504109216242214,-1.02836378303887,1.98752277097693,13,13,"model_528","outputs/revision/models/model_528.Rds","no","Africa_Comparison","Introduced-Intact_Africa","Bare_Ground","Soil",3,20
"Herbivore_nativenessNative","summary",0.449011833019605,0.242395415183069,-1.85239408377625,0.0679572548213651,0.931995240804311,-0.0339715747651012,33,74,"model_529","outputs/revision/models/model_529.Rds","yes","Herbivore_nativeness","Introduced-Native","Bare_Ground","Soil",16,20
"Herbivore_nativenessNative","summary",0.442922512237869,0.240630032289167,-1.84067843911356,0.070455075306239,0.923935092926737,-0.0380900684509986,33,62,"model_530","outputs/revision/models/model_530.Rds","no","Herbivore_nativeness","Introduced-Native","Bare_Ground","Soil",16,20
"Herbivore_nativenessNative","summary",0.449011390417046,0.242395295728626,-1.85239317069807,0.0679573874956103,0.931994560183578,-0.033971779349487,33,74,"model_531","outputs/revision/models/model_531.Rds","no","Herbivore_nativeness","Introduced-Native","Bare_Ground","Soil",16,20
"Herbivore_nativenessNative","summary",0.442922506591746,0.240630034104008,-1.84067840176717,0.0704550808597386,0.923935090908429,-0.0380900777249376,33,62,"model_532","outputs/revision/models/model_532.Rds","no","Herbivore_nativeness","Introduced-Native","Bare_Ground","Soil",16,20
"Herbivore_nativenessNative","summary",0.444812797312632,0.245107280121174,-1.81476779103717,0.0736120872575121,0.933199713939569,-0.0435741193143051,21,74,"model_533","outputs/revision/models/model_533.Rds","no","Herbivore_nativeness","Introduced-Native","Bare_Ground","Soil",16,20
"Herbivore_nativenessNative","summary",0.438981355248074,0.243197354789649,-1.80504165280813,0.075924377738776,0.925125940490444,-0.0471632299942965,21,62,"model_534","outputs/revision/models/model_534.Rds","no","Herbivore_nativeness","Introduced-Native","Bare_Ground","Soil",16,20
"Herbivore_nativenessNative","summary",0.444815557438574,0.245106773795093,-1.81478280078231,0.0736097554467944,0.933201465188772,-0.0435703503116232,21,74,"model_535","outputs/revision/models/model_535.Rds","no","Herbivore_nativeness","Introduced-Native","Bare_Ground","Soil",16,20
"Herbivore_nativenessNative","summary",0.438982594416432,0.24319627394121,-1.80505477038086,0.0759223010304857,0.925125019073557,-0.0471598302406934,21,62,"model_536","outputs/revision/models/model_536.Rds","no","Herbivore_nativeness","Introduced-Native","Bare_Ground","Soil",16,20
"InvasiveNative","summary",0.342109128086855,0.233870423880716,-1.46281484597362,0.14856916294322,0.809609444100929,-0.125391187927218,26,62,"model_537","outputs/revision/models/model_537.Rds","yes","Invasive","Invasive-Native","Bare_Ground","Soil",13,16
"InvasiveNative","summary",0.335730227540098,0.230432363721085,-1.45695779064465,0.150918761750083,0.797719300892719,-0.126258845812523,26,54,"model_538","outputs/revision/models/model_538.Rds","no","Invasive","Invasive-Native","Bare_Ground","Soil",13,16
"InvasiveNative","summary",0.342109174087575,0.233870545654704,-1.46281428099407,0.148569317125626,0.809609733524382,-0.125391385349232,26,62,"model_539","outputs/revision/models/model_539.Rds","no","Invasive","Invasive-Native","Bare_Ground","Soil",13,16
"InvasiveNative","summary",0.335730226360063,0.230432364102309,-1.45695778311333,0.150918763821721,0.797719300476992,-0.126258847756866,26,54,"model_540","outputs/revision/models/model_540.Rds","no","Invasive","Invasive-Native","Bare_Ground","Soil",13,16
"InvasiveNative","summary",0.328848261845928,0.237660548982512,-1.38368889264043,0.171415355806281,0.803924929984485,-0.146228406292629,15,62,"model_541","outputs/revision/models/model_541.Rds","no","Invasive","Invasive-Native","Bare_Ground","Soil",13,16
